,scientific_name,review,database_id,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,keep,resolved_match_type
250,Taeniophyllum formosanum,deleted,GBIF_259532,23.840556,120.923889,891650781,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Taeniophyllum,SPECIES,NA,"Sun Moon Lake, Nichigetsutan (Jitsugettan)",NA,TW,NA,7,1930,PRESERVED_SPECIMEN,TAI,TAI115495,95,without-number,Genkei Masamune 正宗嚴敬,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),TRUE,0.833,4,201239,Taeniophyllum toranum,J.J.Sm.,Species,Accepted,NA,659721-1,201239,7,-1,0,Fuzzy match rejected
251,Thunia alba var. marshelliana,deleted,ALA_107786,-27.5,153,dr2287,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Thunia,variety,NA,NA,Australia,AU,NA,12,1994,PRESERVED_SPECIMEN,BRI,Herbrecs,BRI AQ0636778,s.n.,"Wood, A.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.933,2,376642,Thunia alba var. marschalliana,(Rchb.f.) B.Grant,Variety,Synonym,NA,77293587-1,204312,17,-1,0,Fuzzy match rejected
252,Trichocentrum egleri,deleted,SPECIESLINKS_122351,-11.255,-57.519699,38348,Plantae,NA,NA,NA,Orchidaceae,Trichocentrum,NA,(Pabst.) Luer,Fazenda Santa Maria-Tapayuna.,Brasil,Brasil,NA,12,2007,PreservedSpecimen,UFMT,UFMT,38348,344,"Petini-Benelli, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.857,3,208101,Trichocentrum wagneri,Pupulin,Species,Synonym,NA,302956-2,208047,12,1,0,Fuzzy match rejected
253,Trichosalpinx abbreviata,deleted,GBIF_519561,-3.9936,-79.1453,4077764129,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trichosalpinx,SPECIES,Luer & Hirtz,NA,NA,EC,3100,1,2002,PRESERVED_SPECIMEN,LOJA,LOJA-VASCULARES,13516,-122,Pablo Enrique Lozano Carpio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.792,5,446980,Tricholaena abbreviata,K.Schum.,Species,Invalid,NA,424569-1,527096,12,-1,0,Fuzzy match rejected
254,Vanilla parviflorum,accepted,GBIF_686089,19.5136236,-96.944059,1417671653,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vanilla,SPECIES,"Plum. ex Mill., 1754",Jardin Botánico Clavijero,NA,MX,665,NA,without-year,PRESERVED_SPECIMEN,INECOL,XAL,GE02381,without-number,Pesack,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),TRUE,0.789,4,211943,Vanilla parvifolia,Barb.Rodr.,Species,Accepted,NA,661239-1,211943,18,1,0,Fuzzy match rejected
255,Warscewiczella wailesiana,accepted,SPECIESLINKS_102011,-14.206944,-40.051667,75492,Plantae,NA,NA,NA,Orchidaceae,Warscewiczella,NA,NA,Fazenda Mesquita,Brasil,Brasil,NA,5,2012,PreservedSpecimen,UFPE,UFP,75492,425,"Oliveira, MN; Silva, GS",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.92,2,214227,Warczewiczella wailesiana,(Lindl.) É.Morren,Species,Accepted,NA,661388-1,214227,17,-1,0,Fuzzy match rejected
256,Xylobium patens,deleted,SPECIESLINKS_44543,-11.5,-75,V0460122F,Plantae,Spermatophyta,NA,NA,Orchidaceae,Xylobium,NA,NA,Junín,Peru,Peru,NA,6,1997,PreservedSpecimen,F,F-SEEDPLANTS,V0460122F,4682,B. Boyle et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.765,4,215414,Xylobium squalens,(Lindl.) Lindl.,Species,Accepted,NA,661480-1,215414,15,-1,0,Fuzzy match rejected
257,Ypsilopus erecta,accepted,RAINBIO_17955,-17.3333,35.5833,398122,NA,Magnoliophyta,NA,Asparagales,Orchidaceae,Ypsilopus,ESP,NA,NA,Mozambique,MOZ,NA,NA,without-year,PreservedSpecimen,Naturalis,NA,JW1251817,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.882,2,215484,Ypsilopus erectus,(P.J.Cribb) P.J.Cribb & J.Stewart,Species,Accepted,NA,915601-1,215484,33,-1,0,Fuzzy match rejected
258,Ypsilopus longifolia,accepted,RAINBIO_17954,-3.23333,36.75,238050,NA,Magnoliophyta,NA,Asparagales,Orchidaceae,Ypsilopus,ESP,NA,NA,Tanzania,TZA,NA,NA,without-year,PreservedSpecimen,Naturalis,NA,JW285349,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.905,2,215488,Ypsilopus longifolius,(Kraenzl.) Summerh.,Species,Accepted,NA,661504-1,215488,19,-1,0,Fuzzy match rejected
259,Ypsilopus viridiflora,accepted,RAINBIO_17956,-3.23333,36.75,482965,NA,Magnoliophyta,NA,Asparagales,Orchidaceae,Ypsilopus,ESP,NA,NA,Tanzania,TZA,NA,NA,without-year,PreservedSpecimen,Naturalis,NA,JW1042684,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.909,2,215490,Ypsilopus viridiflorus,P.J.Cribb & J.Stewart,Species,Accepted,NA,907292-1,215490,21,-1,0,Fuzzy match rejected
260,Zygopetalon mackaii,accepted,SPECIESLINKS_83360,-20.6667,-42.520802,21371,Plantae,Monocotyledon,NA,NA,Orchidaceae,Zygopetalon,NA,Hook.,Serra da Mantiqueira,Brasil,Brasil,NA,7,2004,PreservedSpecimen,JBB,HEPH,21371,3105,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.842,3,216087,Zygopetalum mackayi,Hook.,Species,Synonym,NA,661742-1,3298293,0,5,0,Fuzzy match rejected
261,Zygopetalum mallare,deleted,SPECIESLINKS_126800,-21.875833,-41.466667,239617,Plantae,NA,NA,NA,Orchidaceae,Zygopetalum,NA,Lood.,Parque Estadual do Desengano,Brasil,Brasil,NA,5,2014,PreservedSpecimen,MN,R,239617,2737,"Couto, D.R.; Kessous, I.M. & Leite, V.R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.905,2,216093,Zygopetalum maxillare,G.Lodd.,Species,Accepted,NA,661747-1,216093,3,2,0,Fuzzy match rejected
262,Zygostates allemanii,deleted,SPECIESLINKS_19282,-25.769699,-49.715801,395881,Plantae,NA,NA,NA,Orchidaceae,Zygostates,NA,NA,"Rodovia BR 476, quilômetro 210, Passa 2/Pedra Alta.",Brasil,Brasil,NA,11,2013,PreservedSpecimen,MBM,MBM,395881,2046,"Engels, ME; Reynald, DT",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),TRUE,0.8,4,216173,Zygostates alleniana,Kraenzl.,Species,Accepted,NA,661814-1,216173,8,-1,0,Fuzzy match rejected
