SORTER,Submitted_Name,Submitted_Author,Submitted_Genus,Submitted_Rank,Name_in_database,Author_in_database,Genus_in_database,Rank_in_database,ID_in_database,Name_set,Fuzzy,Score,name.dist,author.dist,New_name,New_author,New_ID,Family,Name_spLev,Accepted_SPNAME,NOTE
28,Paraprasophyllum spicatum,,Paraprasophyllum,2,Paraprasophyllum spicatum,(R.J.Bates & D.L.Jones) M.A.Clem. & D.L.Jones,Paraprasophyllum,2,535406,1,FALSE,0.8,0,,Prasophyllum spicatum,R.J.Bates & D.L.Jones,164816,Orchidaceae,,Prasophyllum spicatum,
29,Thynninorchis nothofagicola,,Thynninorchis,2,Thynninorchis nothofagicola,(D.L.Jones) D.L.Jones & M.A.Clem.,Thynninorchis,2,268492,1,FALSE,0.8,0,,Arthrochilus huntianus subsp. nothofagicola,D.L.Jones,15940,Orchidaceae,,Arthrochilus huntianus,
30,Glossodia minor,,Glossodia,2,Glossodia minor,R.Br.,Glossodia,2,91039,1,FALSE,0.8,0,,Caladenia minorata,M.A.Clem.,520311,Orchidaceae,,Caladenia minorata,
31,Caladenia praecox,,Caladenia,2,Caladenia praecox,Nicholls,Caladenia,2,28678,1,FALSE,0.8,0,,Caladenia dimorpha,Fitzg.,28541,Orchidaceae,,Caladenia dimorpha,
32,Corunastylis ciliata,,Corunastylis,2,Corunastylis ciliata,(Ewart & B.Rees) D.L.Jones & M.A.Clem.,Corunastylis,2,234441,1,FALSE,0.8,0,,Genoplesium archeri,(Hook.f.) D.L.Jones & M.A.Clem.,89159,Orchidaceae,,Genoplesium archeri,
33,Pterostylis striata,,Pterostylis,2,Pterostylis striata,Fitzg.,Pterostylis,2,170664,1,FALSE,0.8,0,,Pterostylis alata,(Labill.) Rchb.f.,170493,Orchidaceae,,Pterostylis alata,
34,Elythranthera emarginata,,Elythranthera,2,Elythranthera emarginata,(Lindl.) A.S.George,Elythranthera,2,66844,1,FALSE,0.8,0,,Caladenia emarginata,(Lindl.) Rchb.f.,28550,Orchidaceae,,Caladenia emarginata,
35,Prasophyllum alpestre,,Prasophyllum,2,Prasophyllum alpestre,D.L.Jones,Prasophyllum,2,164656,1,FALSE,0.8,0,,Prasophyllum suttonii,R.S.Rogers & B.Rees,164821,Orchidaceae,,Prasophyllum suttonii,
36,Corunastylis tepperi,,Corunastylis,2,Corunastylis tepperi,(F.Muell. ex Tepper) D.L.Jones & M.A.Clem.,Corunastylis,2,234477,1,FALSE,0.8,0,,Genoplesium nigricans,(R.Br.) D.L.Jones & M.A.Clem.,89177,Orchidaceae,,Genoplesium nigricans,
37,Corunastylis fimbriata,,Corunastylis,2,Corunastylis fimbriata,(R.Br.) D.L.Jones & M.A.Clem.,Corunastylis,2,234449,1,FALSE,0.8,0,,Genoplesium fimbriatum,(R.Br.) D.L.Jones & M.A.Clem.,89173,Orchidaceae,,Genoplesium fimbriatum,
38,Pecteilis ferdinandi,,Pecteilis,2,Pecteilis ferdinandi,(Schltr.) M.A.Clem. & D.L.Jones,Pecteilis,2,535535,1,FALSE,0.8,0,,Habenaria ferdinandi,Schltr.,94623,Orchidaceae,,Habenaria ferdinandi,
39,Geodorum densiflorum,,Geodorum,2,Geodorum densiflorum,(Lam.) Schltr.,Geodorum,2,89236,1,FALSE,0.8,0,,Eulophia picta,(R.Br.) Ormerod,525434,Orchidaceae,,Eulophia picta,
40,Dockrillia fairfaxii,,Dockrillia,2,Dockrillia fairfaxii,(F.Muell. ex Fitzg.) Rauschert,Dockrillia,2,63512,1,FALSE,0.8,0,,Dendrobium teretifolium var. fairfaxii,(F.Muell. ex Fitzg.) F.M.Bailey,59263,Orchidaceae,,Dendrobium teretifolium,
41,Dockrillia pugioniformis,,Dockrillia,2,Dockrillia pugioniformis,(A.Cunn. ex Lindl.) Rauschert,Dockrillia,2,63523,1,FALSE,0.8,0,,Dendrobium pugioniforme,A.Cunn. ex Lindl.,58810,Orchidaceae,,Dendrobium pugioniforme,
42,Nervilia dallachyana,,Nervilia,2,Nervilia dallachyana,(F.Muell. ex Benth.) Schltr.,Nervilia,2,135276,1,FALSE,0.8,0,,Nervilia plicata,(Andrews) Schltr.,135335,Orchidaceae,,Nervilia plicata,
43,Corunastylis sagittifera,,Corunastylis,2,Corunastylis sagittifera,(Rupp) D.L.Jones & M.A.Clem.,Corunastylis,2,234470,1,FALSE,0.8,0,,Genoplesium sagittiferum,(Rupp) D.L.Jones & M.A.Clem.,89187,Orchidaceae,,Genoplesium sagittiferum,
44,Microtis frutetorum,,Microtis,2,Microtis frutetorum,Schltdl.,Microtis,2,128193,1,FALSE,0.8,0,,Microtis unifolia,(G.Forst.) Rchb.f.,128219,Orchidaceae,,Microtis unifolia,
45,Pecteilis eurystoma,,Pecteilis,2,Pecteilis eurystoma,(Schltr.) M.A.Clem. & D.L.Jones,Pecteilis,2,535533,1,FALSE,0.8,0,,Habenaria ochroleuca,R.Br.,95243,Orchidaceae,,Habenaria ochroleuca,
46,Sarcochilus eriochilus,,Sarcochilus,2,Sarcochilus eriochilus,Fitzg.,Sarcochilus,2,184986,1,FALSE,0.8,0,,Sarcochilus ceciliae,F.Muell.,184960,Orchidaceae,,Sarcochilus ceciliae,
47,Paraprasophyllum pilligaense,,Paraprasophyllum,2,Paraprasophyllum pilligaense,(D.L.Jones & L.M.Copel.) M.A.Clem. & D.L.Jones,Paraprasophyllum,2,535394,1,FALSE,0.8,0,,Prasophyllum pilligaense,D.L.Jones & L.M.Copel.,530759,Orchidaceae,,Prasophyllum pilligaense,
48,Cyanicula amplexans,,Cyanicula,2,Cyanicula amplexans,(A.S.George) Hopper & A.P.Br.,Cyanicula,2,52525,1,FALSE,0.8,0,,Caladenia amplexans,A.S.George,28443,Orchidaceae,,Caladenia amplexans,
49,Corunastylis filiformis,,Corunastylis,2,Corunastylis filiformis,(Fitzg.) D.L.Jones & M.A.Clem.,Corunastylis,2,234448,1,FALSE,0.8,0,,Genoplesium filiforme,(Fitzg.) D.L.Jones & M.A.Clem.,89172,Orchidaceae,,Genoplesium filiforme,
50,Caladenia vulgata,,Caladenia,2,Caladenia vulgata,Hopper & A.P.Br.,Caladenia,2,222890,1,FALSE,0.8,0,,Caladenia incensum,Hopper & A.P.Br.,222826,Orchidaceae,,Caladenia incensum,
51,Corunastylis eriochila,,Corunastylis,2,Corunastylis eriochila,(Fitzg.) D.L.Jones & M.A.Clem.,Corunastylis,2,234447,1,FALSE,0.8,0,,Genoplesium eriochilum,(Fitzg.) D.L.Jones & M.A.Clem.,89171,Orchidaceae,,Genoplesium eriochilum,
52,Grastidium insigne,,Grastidium,2,Grastidium insigne,(Blume) M.A.Clem. & D.L.Jones,Grastidium,2,92505,1,FALSE,0.8,0,,Dendrobium insigne,(Blume) Rchb.f. ex Miq.,58051,Orchidaceae,,Dendrobium insigne,
53,Diuris goonooensis,,Diuris,2,Diuris goonooensis,Rupp,Diuris,2,63407,1,FALSE,0.8,0,,Diuris platichila,Fitzg.,63438,Orchidaceae,,Diuris platichila,
