V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
122375,GBIF_43653,Devogelia intonsa,-1.39037,127.73433,2513241289,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Devogelia,SPECIES,Schuit.,NA,NA,ID,NA,11,1974,PRESERVED_SPECIMEN,NA,Botany,L  0539729,"Vogel, EF de 4175",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,239338,Devogelia intonsa,Devogelia,intonsa,Schuit.,Species,Accepted,NA,77063374-1,239338,0,7,"c(127.73433, -1.39037)",TRUE
164149,GBIF_104567,Devogelia intonsa,-0.735,133.081,2513801003,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Devogelia,SPECIES,Schuit.,"S slope, path Andjai-Wekari r.",NA,ID,NA,11,1961,PRESERVED_SPECIMEN,NA,Botany,L.1503334,"Royen, P van; Sleumer, HO 7355",Royen P van; Sleumer HO,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,239338,Devogelia intonsa,Devogelia,intonsa,Schuit.,Species,Accepted,NA,77063374-1,239338,0,7,"c(133.081, -0.735)",TRUE
560134,GBIF_693778,Devogelia intonsa,-1.21286,133.14638,2513800746,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Devogelia,SPECIES,Schuit.,To Andjai.,NA,ID,NA,12,1961,PRESERVED_SPECIMEN,NA,Botany,L.1503335,"Royen, P van; Sleumer, HO 8233",Royen P van; Sleumer HO,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,239338,Devogelia intonsa,Devogelia,intonsa,Schuit.,Species,Accepted,NA,77063374-1,239338,0,7,"c(133.14638, -1.21286)",TRUE
