"Bioregion","Species","affinity","fidelity","indval"
"1","Chamaegastrodia",0.00413650465356774,1,0.00413650465356774
"1","Chamelophyton",0,0,0
"1","Chamorchis",0.0299896587383661,1,0.0299896587383661
"1","Changnienia",0.00413650465356774,0.571428571428571,0.00236371694489585
"1","Chaubardia",0,0,0
"1","Chaubardiella",0,0,0
"1","Cheiradenia",0,0,0
"1","Cheirostylis",0.00413650465356774,0.0434782608695652,0.000179848028415989
"1","Chiloglottis",0,0,0
"1","Chiloschista",0.0031023784901758,0.125,0.000387797311271975
"1","Chloraea",0,0,0
"1","Chondrorhyncha",0,0,0
"1","Chondroscaphe",0,0,0
"1","Chroniochilus",0,0,0
"1","Chrysoglossum",0.00413650465356774,0.181818181818182,0.000752091755194134
"1","Chysis",0,0,0
"1","Chytroglossa",0,0,0
"1","Cirrhaea",0,0,0
"1","Cischweinfia",0,0,0
"1","Claderia",0,0,0
"1","Cleisocentron",0.00103412616339193,0.166666666666667,0.000172354360565322
"1","Cleisomeria",0,0,0
"1","Cleisostoma",0.0103412616339193,0.0854700854700855,0.000883868515719602
"1","Cleisostomopsis",0,0,0
"1","Cleistes",0,0,0
"1","Cleistesiopsis",0.0206825232678387,1,0.0206825232678387
"1","Clematepistephium",0,0,0
"1","Clowesia",0,0,0
"1","Coccineorchis",0,0,0
"1","Cochleanthes",0,0,0
"1","Codonorchis",0,0,0
"1","Coelia",0,0,0
"1","Coeliopsis",0,0,0
"1","Coelogyne",0.0372285418821096,0.145161290322581,0.00540414317643527
"1","Coenoemersa",0.0031023784901758,0.0909090909090909,0.0002820344081978
"1","Coilochilus",0,0,0
"1","Collabium",0.0031023784901758,0.0789473684210526,0.000244924617645458
"1","Comparettia",0,0,0
"1","Constantia",0,0,0
"1","Cooktownia",0,0,0
"1","Corallorhiza",0.53464322647363,0.934900542495479,0.49983824247173
"1","Coryanthes",0,0,0
"1","Corybas",0.00103412616339193,0.00909090909090909,9.40114693992667e-06
"1","Corycium",0,0,0
"1","Corymborkis",0.00103412616339193,0.00460829493087558,4.76555835664486e-06
"1","Cottonia",0,0,0
"1","Cotylolabium",0,0,0
"1","Cranichis",0,0,0
"1","Cremastra",0.0506721820062048,0.777777777777778,0.039411697115937
"1","Crepidium",0.0124095139607032,0.0975609756097561,0.00121068428884909
"1","Crossoglossa",0,0,0
"1","Crossoliparis",0,0,0
"1","Cryptarrhena",0,0,0
"1","Cryptochilus",0.00413650465356774,0.142857142857143,0.000590929236223962
"1","Cryptopus",0,0,0
"1","Cryptostylis",0,0,0
"1","Cuitlauzina",0,0,0
"1","Cyanaeorchis",0,0,0
"1","Cybebus",0,0,0
"1","Cyclopogon",0.00206825232678387,0.0117647058823529,2.43323803151043e-05
"1","Cycnoches",0,0,0
"1","Cylindrolobus",0.00103412616339193,0.015625,1.6158221302999e-05
"1","Cymbidium",0.0568769389865564,0.237068965517241,0.0134837570873302
"1","Cymbilabia",0.00517063081695967,0.625,0.00323164426059979
"1","Cymboglossum",0,0,0
"1","Cynorkis",0,0,0
"1","Cypripedium",0.615305067218201,0.950479233226837,0.584834688490143
"1","Cyrtochiloides",0,0,0
"1","Cyrtochilum",0,0,0
"1","Cyrtopodium",0.00103412616339193,0.00429184549356223,4.43830971412847e-06
"1","Cyrtorchis",0,0,0
"1","Cyrtosia",0.0351602895553257,0.53968253968254,0.0189753943631917
"1","Cyrtostylis",0,0,0
"1","Cystorchis",0,0,0
"1","Dactylorhiza",0.644260599793175,0.99203821656051,0.639131136419025
"1","Dactylostalix",0.00517063081695967,1,0.00517063081695967
"1","Daiotyla",0,0,0
"1","Danhatchia",0,0,0
"1","Degranvillea",0,0,0
"1","Deiregyne",0,0,0
"1","Dendrobium",0.0403309203722854,0.105121293800539,0.00423963852970116
"1","Dendrolirium",0.00206825232678387,0.04,8.27300930713547e-05
"1","Dendrophylax",0.00206825232678387,0.1,0.000206825232678387
"1","Devogelia",0,0,0
"1","Diaphananthe",0,0,0
"1","Diceratostele",0,0,0
"1","Dichaea",0,0,0
"1","Dichromanthus",0.00206825232678387,0.0416666666666667,8.61771802826612e-05
"1","Didymoplexiella",0,0,0
"1","Didymoplexis",0.00103412616339193,0.024390243902439,2.52225893510228e-05
"1","Dienia",0.0031023784901758,0.0576923076923077,0.000178983374433219
"1","Diglyphosa",0.00103412616339193,0.2,0.000206825232678387
"1","Dilochia",0,0,0
"1","Dilochiopsis",0,0,0
"1","Dilomilis",0,0,0
"1","Dimerandra",0,0,0
"1","Dimorphorchis",0,0,0
"1","Dinema",0,0,0
"1","Dinklageella",0,0,0
"1","Diodonopsis",0,0,0
"1","Diplocentrum",0,0,0
"1","Diplomeris",0.00413650465356774,0.571428571428571,0.00236371694489585
"1","Diploprora",0.00103412616339193,0.0625,6.46328852119959e-05
"1","Dipodium",0,0,0
"1","Disa",0,0,0
"1","Discyphus",0,0,0
"1","Disperis",0,0,0
"1","Diuris",0,0,0
"1","Domingoa",0,0,0
"1","Dossinia",0,0,0
"1","Dracomonticola",0,0,0
"1","Draconanthes",0,0,0
"1","Dracula",0,0,0
"1","Drakaea",0,0,0
"1","Dresslerella",0,0,0
"1","Dressleria",0,0,0
"1","Dryadella",0,0,0
"1","Dryadorchis",0,0,0
"1","Drymoanthus",0,0,0
"1","Duckeella",0,0,0
"1","Dunstervillea",0,0,0
"1","Dyakia",0,0,0
"1","Earina",0,0,0
"1","Echinorhyncha",0,0,0
"1","Echinosepala",0,0,0
"1","Eggelingia",0,0,0
"1","Eleorchis",0.0062047569803516,1,0.0062047569803516
"1","Elleanthus",0,0,0
"1","Eloyella",0,0,0
"1","Eltroplectris",0,0,0
"1","Embreea",0,0,0
"1","Encyclia",0.00723888314374354,0.025830258302583,0.00018698222142511
"1","Ephippianthus",0.0031023784901758,1,0.0031023784901758
"1","Epiblastus",0,0,0
"1","Epiblema",0,0,0
"1","Epidendrum",0.0103412616339193,0.0242130750605327,0.000250393744162696
"1","Epipactis",0.501551189245088,0.913370998116761,0.458102310327434
"1","Epipogium",0.173733195449845,0.746666666666667,0.129720785935884
"1","Epistephium",0,0,0
"1","Erasanthe",0,0,0
"1","Eria",0.00517063081695967,0.0510204081632653,0.00026380769474284
"1","Eriaxis",0,0,0
"1","Eriochilus",0,0,0
"1","Eriodes",0,0,0
"1","Eriopsis",0,0,0
"1","Erycina",0,0,0
"1","Erythrodes",0.00103412616339193,0.0434782608695652,4.49620071039971e-05
"1","Erythrorchis",0,0,0
"1","Espinhassoa",0,0,0
"1","Eulophia",0.0227507755946225,0.0314285714285714,0.000715024375830994
"1","Euryblema",0,0,0
"1","Eurycentrum",0,0,0
"1","Eurychone",0,0,0
"1","Eurystyles",0,0,0
"1","Evotella",0,0,0
"1","Fernandezia",0,0,0
"1","Frondaria",0,0,0
"1","Fuertesiella",0,0,0
"1","Funkiella",0,0,0
"1","Galeandra",0,0,0
"1","Galearis",0.257497414684592,0.996,0.256467425025853
"1","Galeoglossum",0,0,0
"1","Galeola",0.0062047569803516,0.13953488372093,0.000865780043769991
"1","Galeottia",0,0,0
"1","Galeottiella",0,0,0
"1","Gastrochilus",0.0258531540847983,0.337837837837838,0.00873417367729674
"1","Gastrodia",0.0579110651499483,0.397163120567376,0.0230001393503341
"1","Gavilea",0,0,0
"1","Gennaria",0.0103412616339193,1,0.0103412616339193
"1","Genoplesium",0,0,0
"1","Glomera",0,0,0
"1","Gomesa",0,0,0
"1","Gomphichis",0,0,0
"1","Gonatostylis",0,0,0
"1","Gongora",0,0,0
"1","Goodyera",0.590486039296794,0.772665764546685,0.456248347007401
"1","Govenia",0.00103412616339193,0.00925925925925926,9.57524225362902e-06
"1","Grammangis",0,0,0
"1","Grammatophyllum",0,0,0
"1","Grandiphyllum",0,0,0
"1","Graphorkis",0,0,0
"1","Gravendeelia",0,0,0
"1","Greenwoodiella",0,0,0
"1","Grobya",0,0,0
"1","Grosourdya",0,0,0
"1","Guanchezia",0,0,0
"1","Guarianthe",0,0,0
"1","Gunnarella",0,0,0
"1","Gymnadenia",0.344364012409514,1,0.344364012409514
"1","Habenaria",0.127197518097208,0.130990415335463,0.0166616557251934
"1","Hagsatera",0,0,0
"1","Halleorchis",0,0,0
"1","Hammarbya",0.157187176835574,1,0.157187176835574
"1","Hancockia",0,0,0
"1","Hapalorchis",0,0,0
"1","Helleriella",0,0,0
"1","Helonoma",0,0,0
"1","Hemipilia",0.183040330920372,0.819444444444444,0.149991382281972
"1","Herminium",0.240951396070321,0.826241134751773,0.199083954909166
"1","Herpysma",0.00206825232678387,0.2,0.000413650465356774
"1","Hetaeria",0.00206825232678387,0.0163934426229508,3.39057758489159e-05
"1","Himantoglossum",0.0951396070320579,1,0.0951396070320579
"1","Hintonella",0,0,0
"1","Hoehneella",0,0,0
"1","Hofmeisterella",0,0,0
"1","Holcoglossum",0.00827300930713547,0.333333333333333,0.00275766976904516
"1","Holothrix",0,0,0
"1","Homalopetalum",0,0,0
"1","Horichia",0,0,0
"1","Horvatia",0,0,0
"1","Houlletia",0,0,0
"1","Hsenhsua",0.00413650465356774,1,0.00413650465356774
"1","Huntleya",0,0,0
"1","Huttonaea",0,0,0
"1","Hylophila",0,0,0
"1","Hymenorchis",0,0,0
"1","Ida",0,0,0
"1","Imerinaea",0,0,0
"1","Ionopsis",0,0,0
"1","Isabelia",0,0,0
"1","Isochilus",0,0,0
"1","Isotria",0.0486039296794209,1,0.0486039296794209
"1","Ixyophora",0,0,0
"1","Jacquiniella",0,0,0
"1","Jejewoodia",0,0,0
"1","Jumellea",0,0,0
"1","Kefersteinia",0,0,0
"1","Kegeliella",0,0,0
"1","Kionophyton",0,0,0
"1","Koellensteinia",0,0,0
