"Grain_size_km","N_cells","Gamma_diversity","Mean_alpha_diversity","SD_alpha_diversity","Min_alpha_diversity","Max_alpha_diversity","Mean_records_per_cell","SD_records_per_cell","N_singleton_species","N_doubleton_species","Mean_PD","SD_PD"
"100 km",5003,19123,36.0989406356183,63.4712546339767,5,1163,36.0989406356183,63.4712546339767,5667,2904,552.104788484038,513.267535006725
"200 km",2200,19123,57.7227272727268,105.462378421059,5,1527,57.7227272727268,105.462378421059,6249,3124,747.735749430515,763.031724821467
"400 km",850,19123,99.2352941176472,184.015647351448,5,2073,99.2352941176472,184.015647351448,7227,3594,1077.23783299108,1184.27746073488
"800 km",316,19123,179.642405063291,323.356369291192,5,2755,179.642405063291,323.356369291192,8433,4223,1619.38618582046,1863.2488245484
