"Species","Group","Stat","P_value","IndVal_diff","Count_Group_1","Count_Group_2","Count_Group_3","Count_Group_4","Count_Group_5","Count_Group_6","Perc_Group_1","Perc_Group_2","Perc_Group_3","Perc_Group_4","Perc_Group_5","Perc_Group_6","Total_Occurrences","Max_Percentage"
"Habenaria rostellifera","2",0.175690468739875,0.056,0.164485079491354,2,11,0,0,0,0,15.4,84.6,0,0,0,0,13,84.6
"Rhynchostylis retusa","2",0.175690468739875,0.054,0.164485079491354,2,11,0,0,0,0,15.4,84.6,0,0,0,0,13,84.6
"Dendrobium denneanum","2",0.174572861410634,0.074,0.143954061110863,6,12,0,0,0,0,33.3,66.7,0,0,0,0,18,66.7
"Dendrobium longicornu","2",0.17311484276143,0.049,0.15655316575284,3,11,0,0,0,0,21.4,78.6,0,0,0,0,14,78.6
"Agrostophyllum longifolium","2",0.172773685116272,0.034,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Agrostophyllum uniflorum","2",0.172773685116272,0.062,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Appendicula hexandra","2",0.172773685116272,0.041,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Appendicula polystachya","2",0.172773685116272,0.059,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Bryobium hyacinthoides","2",0.172773685116272,0.038,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Bulbophyllum acuminatum","2",0.172773685116272,0.043,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Bulbophyllum concinnum","2",0.172773685116272,0.048,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Bulbophyllum olivinum","2",0.172773685116272,0.039,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Bulbophyllum tenuifolium","2",0.172773685116272,0.043,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Campanulorchis thao","2",0.172773685116272,0.043,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Coelogyne beccarii","2",0.172773685116272,0.055,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Coelogyne carinata","2",0.172773685116272,0.06,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Coelogyne cuprea","2",0.172773685116272,0.045,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Coelogyne foerstermannii","2",0.172773685116272,0.047,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Coelogyne septemcostata","2",0.172773685116272,0.04,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Coelogyne speciosa","2",0.172773685116272,0.04,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Coelogyne ventricosa","2",0.172773685116272,0.043,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Cystorchis aphylla","2",0.172773685116272,0.041,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Cystorchis variegata","2",0.172773685116272,0.045,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Dendrobium anosmum","2",0.172773685116272,0.047,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Dendrobium capituliflorum","2",0.172773685116272,0.046,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Dendrobium cymbidioides","2",0.172773685116272,0.045,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Dendrobium hasseltii","2",0.172773685116272,0.054,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Dendrobium luzonense","2",0.172773685116272,0.044,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Dendrobium mohlianum","2",0.172773685116272,0.046,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Dendrobium montis-yulei","2",0.172773685116272,0.054,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Dendrobium platygastrium","2",0.172773685116272,0.05,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Dendrobium xantholeucum","2",0.172773685116272,0.05,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Dendrolirium tomentosum","2",0.172773685116272,0.042,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Gastrochilus dasypogon","2",0.172773685116272,0.044,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Goodyera hispida","2",0.172773685116272,0.038,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Grammatophyllum scriptum","2",0.172773685116272,0.049,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Lecanorchis multiflora","2",0.172773685116272,0.045,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Liparis barbata","2",0.172773685116272,0.05,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Oberonia microphylla","2",0.172773685116272,0.05,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Oberonia rhizomatosa","2",0.172773685116272,0.057,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Oberonia rufilabris","2",0.172773685116272,0.061,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Phalaenopsis cornu-cervi","2",0.172773685116272,0.05,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Phreatia inversa","2",0.172773685116272,0.048,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Plocoglottis javanica","2",0.172773685116272,0.04,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Plocoglottis kaniensis","2",0.172773685116272,0.046,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Plocoglottis plicata","2",0.172773685116272,0.045,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Podochilus tenuis","2",0.172773685116272,0.046,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Thelymitra papuana","2",0.172773685116272,0.048,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Vrydagzynea elongata","2",0.172773685116272,0.049,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Zeuxine parvifolia","2",0.172773685116272,0.048,0.172773685116272,0,10,0,0,0,0,0,100,0,0,0,0,10,100
"Calanthe brevicornu","2",0.171213411308591,0.115,0.115774191537304,12,13,0,0,0,0,48,52,0,0,0,0,25,52
"Coelogyne punctulata","2",0.17064927003922,0.059,0.148881538306469,4,11,0,0,0,0,26.7,73.3,0,0,0,0,15,73.3
"Nervilia fordii","2",0.17064927003922,0.069,0.148881538306469,4,11,0,0,0,0,26.7,73.3,0,0,0,0,15,73.3
"Spiranthes flexuosa","2",0.17064927003922,0.058,0.148881538306469,4,11,0,0,0,0,26.7,73.3,0,0,0,0,15,73.3
"Liparis dunnii","2",0.170386751740801,0.091,0.130540635277856,8,12,0,0,0,0,40,60,0,0,0,0,20,60
"Bulbophyllum crabro","2",0.169820824636109,0.044,0.163863759059869,1,10,0,0,0,0,9.1,90.9,0,0,0,0,11,90.9
"Dendrobium cariniferum","2",0.169820824636109,0.051,0.163863759059869,1,10,0,0,0,0,9.1,90.9,0,0,0,0,11,90.9
"Oberonia anthropophora","2",0.169820824636109,0.045,0.163863759059869,1,10,0,0,0,0,9.1,90.9,0,0,0,0,11,90.9
"Habenaria propinquior","2",0.168870313559711,0.07,0.12561988921529,0,12,1,0,0,0,0,92.3,7.7,0,0,0,13,92.3
"Calanthe davidii","2",0.168263048352656,0.146,0.0881587624315896,19,14,0,0,0,0,57.6,42.4,0,0,0,0,33,57.6
"Dendrobium devonianum","2",0.167014367963448,0.048,0.155297129582767,2,10,0,0,0,0,16.7,83.3,0,0,0,0,12,83.3
"Bletilla ochracea","2",0.165477525664247,0.152,0.078406890432536,21,14,0,0,0,0,60,40,0,0,0,0,35,60
"Cymbidium iridioides","2",0.164342603767672,0.057,0.147047910910446,3,10,0,0,0,0,23.1,76.9,0,0,0,0,13,76.9
"Gastrochilus japonicus","2",0.164342603767672,0.053,0.147047910910446,3,10,0,0,0,0,23.1,76.9,0,0,0,0,13,76.9
"Agrostophyllum sumatranum","2",0.163907509412446,0.043,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Appendicula alba","2",0.163907509412446,0.046,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Arachnis flos-aeris","2",0.163907509412446,0.03,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Bulbophyllum dichotomum","2",0.163907509412446,0.043,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Calanthe speciosa","2",0.163907509412446,0.05,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Cleisostoma filiforme","2",0.163907509412446,0.052,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Cleisostoma firmulum","2",0.163907509412446,0.048,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Cleisostoma racemiferum","2",0.163907509412446,0.04,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Coelogyne leveilleana","2",0.163907509412446,0.045,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Coelogyne pandurata","2",0.163907509412446,0.036,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Coelogyne recurva","2",0.163907509412446,0.038,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Coelogyne uniflora","2",0.163907509412446,0.046,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Cymbidium haematodes","2",0.163907509412446,0.047,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dendrobium brunneum","2",0.163907509412446,0.036,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dendrobium convexum","2",0.163907509412446,0.051,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dendrobium delacourii","2",0.163907509412446,0.036,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dendrobium hosei","2",0.163907509412446,0.047,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dendrobium labuanum","2",0.163907509412446,0.037,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dendrobium obtusum","2",0.163907509412446,0.039,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dendrobium officinale","2",0.163907509412446,0.046,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dendrobium spatella","2",0.163907509412446,0.039,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dendrobium subulatum","2",0.163907509412446,0.04,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dendrobium sulphureum","2",0.163907509412446,0.05,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dendrobium tetraedre","2",0.163907509412446,0.042,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dendrobium versteegii","2",0.163907509412446,0.049,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dilochia wallichii","2",0.163907509412446,0.04,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Dipodium paludosum","2",0.163907509412446,0.038,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Eria gagnepainii","2",0.163907509412446,0.047,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Glomera macdonaldii","2",0.163907509412446,0.044,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Liparis layardii","2",0.163907509412446,0.042,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Luisia teretifolia","2",0.163907509412446,0.044,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Nervilia peltata","2",0.163907509412446,0.047,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Oberonia heliophila","2",0.163907509412446,0.044,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Octarrhena angraecoides","2",0.163907509412446,0.054,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Pinalia multiflora","2",0.163907509412446,0.044,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Pinalia tenuiflora","2",0.163907509412446,0.044,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Platanthera angustata","2",0.163907509412446,0.045,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Plocoglottis borneensis","2",0.163907509412446,0.037,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Plocoglottis moluccana","2",0.163907509412446,0.042,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Rhomboda abbreviata","2",0.163907509412446,0.052,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Rhomboda polygonoides","2",0.163907509412446,0.045,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Spathoglottis microchilina","2",0.163907509412446,0.05,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Taeniophyllum fasciola","2",0.163907509412446,0.048,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Thrixspermum trichoglottis","2",0.163907509412446,0.046,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Trichoglottis lanceolaria","2",0.163907509412446,0.024,0.163907509412446,0,9,0,0,0,0,0,100,0,0,0,0,9,100
"Goodyera similis","2",0.163103548394216,0.15,0.0882848042858745,17,13,0,0,0,0,56.7,43.3,0,0,0,0,30,56.7
"Bulbophyllum drymoglossum","2",0.162845233092629,0.112,0.105721512583696,12,12,0,0,0,0,50,50,0,0,0,0,24,50
"Bulbophyllum umbellatum","2",0.161795091663719,0.051,0.139092953147553,4,10,0,0,0,0,28.6,71.4,0,0,0,0,14,71.4
"Habenaria malintana","2",0.161795091663719,0.066,0.139092953147553,4,10,0,0,0,0,28.6,71.4,0,0,0,0,14,71.4
"Bulbophyllum biflorum","2",0.160803709210921,0.053,0.154536199893218,1,9,0,0,0,0,10,90,0,0,0,0,10,90
"Bulbophyllum depressum","2",0.160803709210921,0.048,0.154536199893218,1,9,0,0,0,0,10,90,0,0,0,0,10,90
"Gastrochilus pseudodistichus","2",0.160803709210921,0.037,0.154536199893218,1,9,0,0,0,0,10,90,0,0,0,0,10,90
"Goodyera hachijoensis","2",0.160803709210921,0.046,0.154536199893218,1,9,0,0,0,0,10,90,0,0,0,0,10,90
"Habenaria fordii","2",0.160803709210921,0.044,0.154536199893218,1,9,0,0,0,0,10,90,0,0,0,0,10,90
"Herpysma longicaulis","2",0.160803709210921,0.049,0.154536199893218,1,9,0,0,0,0,10,90,0,0,0,0,10,90
"Hetaeria affinis","2",0.160803709210921,0.039,0.154536199893218,1,9,0,0,0,0,10,90,0,0,0,0,10,90
"Oberonia pyrulifera","2",0.160803709210921,0.05,0.154536199893218,1,9,0,0,0,0,10,90,0,0,0,0,10,90
"Phalaenopsis marriottiana","2",0.160803709210921,0.035,0.154536199893218,1,9,0,0,0,0,10,90,0,0,0,0,10,90
"Podochilus khasianus","2",0.160803709210921,0.038,0.154536199893218,1,9,0,0,0,0,10,90,0,0,0,0,10,90
"Cymbidium faberi","2",0.160593162924672,0.137,0.0962117602862098,16,14,1,0,0,0,51.6,45.2,3.2,0,0,0,31,51.6
"Pomatocalpa macphersonii","2",0.160203076091359,0.058,0.115442416799779,0,11,1,0,0,0,0,91.7,8.3,0,0,0,12,91.7
"Habenaria petelotii","2",0.159362490204712,0.071,0.131411477524828,5,10,0,0,0,0,33.3,66.7,0,0,0,0,15,66.7
"Coelogyne leucantha","2",0.157869807673857,0.045,0.145563493404923,2,9,0,0,0,0,18.2,81.8,0,0,0,0,11,81.8
"Dendrobium eriiflorum","2",0.157869807673857,0.043,0.145563493404923,2,9,0,0,0,0,18.2,81.8,0,0,0,0,11,81.8
"Herminium latilabre","2",0.157786085659277,0.083,0.107468771336709,10,11,0,0,0,0,47.6,52.4,0,0,0,0,21,52.4
"Liparis cespitosa","2",0.157354989676852,0.093,0.0680958095142451,0,13,0,0,0,7,0,65,0,0,0,35,20,65
"Coelogyne schultesii","2",0.155090849639142,0.051,0.136956317482384,3,9,0,0,0,0,25,75,0,0,0,0,12,75
"Dendrobium rotundatum","2",0.155090849639142,0.048,0.136956317482384,3,9,0,0,0,0,25,75,0,0,0,0,12,75
"Peristylus calcaratus","2",0.155090849639142,0.062,0.136956317482384,3,9,0,0,0,0,25,75,0,0,0,0,12,75
"Bulbophyllum membranifolium","2",0.15508234086703,0.04,0.136929795727108,0,9,0,0,0,1,0,90,0,0,0,10,10,90
"Cremastra appendiculata","2",0.155054418402024,0.282,0.00208024579662403,45,16,0,0,0,0,73.8,26.2,0,0,0,0,61,73.8
"Acriopsis emarginata","2",0.154533481857251,0.04,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Agrostophyllum earinoides","2",0.154533481857251,0.052,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Agrostophyllum leucocephalum","2",0.154533481857251,0.045,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Agrostophyllum spicatum","2",0.154533481857251,0.046,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Bulbophyllum catenarium","2",0.154533481857251,0.028,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Bulbophyllum coniferum","2",0.154533481857251,0.027,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Bulbophyllum gracillimum","2",0.154533481857251,0.043,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Bulbophyllum macrochilum","2",0.154533481857251,0.038,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Bulbophyllum pachytelos","2",0.154533481857251,0.046,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Bulbophyllum posticum","2",0.154533481857251,0.048,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Bulbophyllum stenobulbon","2",0.154533481857251,0.036,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Bulbophyllum trifilum","2",0.154533481857251,0.044,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Calanthe crenulata","2",0.154533481857251,0.035,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Calanthe longipes","2",0.154533481857251,0.031,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Ceratostylis siamensis","2",0.154533481857251,0.038,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Coelogyne cumingii","2",0.154533481857251,0.032,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Coelogyne entomophobia","2",0.154533481857251,0.036,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Coelogyne globosa","2",0.154533481857251,0.042,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Coelogyne glumacea","2",0.154533481857251,0.034,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Coelogyne microchila","2",0.154533481857251,0.04,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Coelogyne rubra","2",0.154533481857251,0.028,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Coelogyne tenella","2",0.154533481857251,0.036,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Cylindrolobus lamonganensis","2",0.154533481857251,0.043,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Cylindrolobus mucronatus","2",0.154533481857251,0.025,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Cyrtosia javanica","2",0.154533481857251,0.033,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium aurantiiroseum","2",0.154533481857251,0.042,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium ellipsophyllum","2",0.154533481857251,0.038,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium finisterrae","2",0.154533481857251,0.037,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium fluctuosum","2",0.154533481857251,0.039,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium gibsonii","2",0.154533481857251,0.027,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium grande","2",0.154533481857251,0.027,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium gratiosissimum","2",0.154533481857251,0.037,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium hellwigianum","2",0.154533481857251,0.044,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium henryi","2",0.154533481857251,0.036,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium kentrophyllum","2",0.154533481857251,0.039,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium macfarlanei","2",0.154533481857251,0.038,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium maidenianum","2",0.154533481857251,0.045,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium setifolium","2",0.154533481857251,0.033,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium spurium","2",0.154533481857251,0.032,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium terminale","2",0.154533481857251,0.034,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium wentianum","2",0.154533481857251,0.044,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dilochia rigida","2",0.154533481857251,0.026,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dipodium elegantulum","2",0.154533481857251,0.038,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Eria rostriflora","2",0.154533481857251,0.047,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Eulophia macrobulbon","2",0.154533481857251,0.039,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Habenaria multipartita","2",0.154533481857251,0.041,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Habenaria pantlingiana","2",0.154533481857251,0.032,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Hylophila lanceolata","2",0.154533481857251,0.038,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Hylophila mollis","2",0.154533481857251,0.029,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Liparis ferruginea","2",0.154533481857251,0.034,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Liparis imperatifolia","2",0.154533481857251,0.044,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Liparis lacerata","2",0.154533481857251,0.029,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Liparis mannii","2",0.154533481857251,0.026,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Liparis sootenzanensis","2",0.154533481857251,0.034,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Macodes sanderiana","2",0.154533481857251,0.04,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Oberonia dubia","2",0.154533481857251,0.039,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Oberonia monstruosa","2",0.154533481857251,0.033,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Octarrhena parvula","2",0.154533481857251,0.045,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Peristylus gracilis","2",0.154533481857251,0.036,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Pinalia flavescens","2",0.154533481857251,0.04,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Pinalia moluccana","2",0.154533481857251,0.036,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Podochilus hellwigii","2",0.154533481857251,0.043,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Podochilus sciuroides","2",0.154533481857251,0.023,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Pomatocalpa bicolor","2",0.154533481857251,0.033,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Renanthera coccinea","2",0.154533481857251,0.037,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Rhynchostylis gigantea","2",0.154533481857251,0.036,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Sarcanthopsis nagarensis","2",0.154533481857251,0.042,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Tainia speciosa","2",0.154533481857251,0.032,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Thelasis capitata","2",0.154533481857251,0.041,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Thelasis khasiana","2",0.154533481857251,0.036,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Trachoma rhopalorrhachis","2",0.154533481857251,0.041,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Trichotosia pauciflora","2",0.154533481857251,0.039,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Vanda hindsii","2",0.154533481857251,0.043,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Vanilla albida","2",0.154533481857251,0.026,0.154533481857251,0,8,0,0,0,0,0,100,0,0,0,0,8,100
"Dendrobium amplum","2",0.152453660325598,0.05,0.128685434050287,4,9,0,0,0,0,30.8,69.2,0,0,0,0,13,69.2
"Bulbophyllum helenae","2",0.151252974247408,0.039,0.144620808491795,1,8,0,0,0,0,11.1,88.9,0,0,0,0,9,88.9
"Coelogyne alba","2",0.151252974247408,0.035,0.144620808491795,1,8,0,0,0,0,11.1,88.9,0,0,0,0,9,88.9
"Dendrobium bellatulum","2",0.151252974247408,0.036,0.144620808491795,1,8,0,0,0,0,11.1,88.9,0,0,0,0,9,88.9
"Dendrobium densiflorum","2",0.151252974247408,0.042,0.144620808491795,1,8,0,0,0,0,11.1,88.9,0,0,0,0,9,88.9
"Dendrobium falconeri","2",0.151252974247408,0.033,0.144620808491795,1,8,0,0,0,0,11.1,88.9,0,0,0,0,9,88.9
"Dendrobium jenkinsii","2",0.151252974247408,0.037,0.144620808491795,1,8,0,0,0,0,11.1,88.9,0,0,0,0,9,88.9
"Dendrobium lineale","2",0.151252974247408,0.052,0.144620808491795,1,8,0,0,0,0,11.1,88.9,0,0,0,0,9,88.9
"Eulophia andamanensis","2",0.151252974247408,0.036,0.144620808491795,1,8,0,0,0,0,11.1,88.9,0,0,0,0,9,88.9
