"Species","Group","Stat","P_value","IndVal_diff","Count_Group_1","Count_Group_2","Count_Group_3","Count_Group_4","Count_Group_5","Count_Group_6","Perc_Group_1","Perc_Group_2","Perc_Group_3","Perc_Group_4","Perc_Group_5","Perc_Group_6","Total_Occurrences","Max_Percentage"
"Cryptostylis arachnites","2",0.354080689007969,0.016,0.354080689007969,0,42,0,0,0,0,0,100,0,0,0,0,42,100
"Eulophia nuda","2",0.352560626790187,0.019,0.343923226616521,1,43,0,0,0,1,2.2,95.6,0,0,0,2.2,45,95.6
"Bulbophyllum apodum","2",0.345547370232544,0.011,0.345547370232544,0,40,0,0,0,0,0,100,0,0,0,0,40,100
"Tropidia curculigoides","2",0.339676499615955,0.014,0.336621280730968,1,39,0,0,0,0,2.5,97.5,0,0,0,0,40,97.5
"Herminium lanceum","2",0.338116669191639,0.012,0.208321018052776,58,53,0,0,0,0,52.3,47.7,0,0,0,0,111,52.3
"Ceratostylis subulata","2",0.336797915404617,0.011,0.336797915404617,0,38,0,0,0,0,0,100,0,0,0,0,38,100
"Liparis odorata","2",0.331324658906179,0.021,0.302268700598962,10,40,0,0,0,0,20,80,0,0,0,0,50,80
"Goodyera rubicunda","2",0.330772542631789,0.015,0.327636592390338,1,37,0,0,0,0,2.6,97.4,0,0,0,0,38,97.4
"Cymbidium ensifolium","2",0.329550084166843,0.023,0.305836989105301,8,39,0,0,0,0,17,83,0,0,0,0,47,83
"Calanthe obcordata","2",0.329230149124674,0.01,0.322987494535357,2,37,0,0,0,0,5.1,94.9,0,0,0,0,39,94.9
"Agrostophyllum stipulatum","2",0.327815018824892,0.005,0.327815018824892,0,36,0,0,0,0,0,100,0,0,0,0,36,100
"Appendicula cornuta","2",0.327815018824892,0.012,0.327815018824892,0,36,0,0,0,0,0,100,0,0,0,0,36,100
"Bulbophyllum clandestinum","2",0.327815018824892,0.009,0.327815018824892,0,36,0,0,0,0,0,100,0,0,0,0,36,100
"Goodyera schlechtendaliana","2",0.327466948710424,0.007,0.217382618875615,46,48,0,0,0,0,48.9,51.1,0,0,0,0,94,51.1
"Coelogyne chinensis","2",0.326819240526011,0.022,0.297423497318544,10,39,0,0,0,0,20.4,79.6,0,0,0,0,49,79.6
"Spathoglottis pubescens","2",0.32501071267713,0.018,0.301008819318775,8,38,0,0,0,0,17.4,82.6,0,0,0,0,46,82.6
"Coelogyne asperata","2",0.318578934195958,0.005,0.318578934195958,0,34,0,0,0,0,0,100,0,0,0,0,34,100
"Dendrobium aloifolium","2",0.318578934195958,0.006,0.318578934195958,0,34,0,0,0,0,0,100,0,0,0,0,34,100
"Cymbidium aloifolium","2",0.316948118687518,0.01,0.313678096520585,1,34,0,0,0,0,2.9,97.1,0,0,0,0,35,97.1
"Nervilia concolor","2",0.31542329805286,0.013,0.299616745345649,5,35,0,0,0,0,12.5,87.5,0,0,0,0,40,87.5
"Appendicula pendula","2",0.313858985352606,0.006,0.313858985352606,0,33,0,0,0,0,0,100,0,0,0,0,33,100
"Eria scabrilinguis","2",0.313858985352606,0.008,0.313858985352606,0,33,0,0,0,0,0,100,0,0,0,0,33,100
"Coelogyne fimbriata","2",0.313760238519943,0.013,0.30404884216292,3,34,0,0,0,0,8.1,91.9,0,0,0,0,37,91.9
"Pecteilis susannae","2",0.312201951878576,0.012,0.299317732121345,4,34,0,0,0,0,10.5,89.5,0,0,0,0,38,89.5
"Aphyllorchis montana","2",0.310574979636638,0.01,0.303972243277554,2,33,0,0,0,0,5.7,94.3,0,0,0,0,35,94.3
"Goodyera foliosa","2",0.30915378696624,0.017,0.290016148783236,6,34,0,0,0,0,15,85,0,0,0,0,40,85
"Goodyera viridiflora","2",0.30915378696624,0.014,0.290016148783236,6,34,0,0,0,0,15,85,0,0,0,0,40,85
"Dendrobium macrophyllum","2",0.309066963714502,0.012,0.309066963714502,0,32,0,0,0,0,0,100,0,0,0,0,32,100
"Dendrobium plicatile","2",0.309066963714502,0.008,0.309066963714502,0,32,0,0,0,0,0,100,0,0,0,0,32,100
"Eria javanica","2",0.309066963714502,0.008,0.309066963714502,0,32,0,0,0,0,0,100,0,0,0,0,32,100
"Habenaria rhodocheila","2",0.307386762490635,0.018,0.304017175925375,1,32,0,0,0,0,3,97,0,0,0,0,33,97
"Nervilia plicata","2",0.304106962761068,0.015,0.294106062971314,3,32,0,0,0,0,8.6,91.4,0,0,0,0,35,91.4
"Anoectochilus roxburghii","2",0.302492825189655,0.008,0.299069920395244,1,31,0,0,0,0,3.1,96.9,0,0,0,0,32,96.9
"Galeola nudifolia","2",0.29925280083229,0.01,0.29925280083229,0,30,0,0,0,0,0,100,0,0,0,0,30,100
"Podochilus lucescens","2",0.29925280083229,0.004,0.29925280083229,0,30,0,0,0,0,0,100,0,0,0,0,30,100
"Thelasis pygmaea","2",0.29925280083229,0.008,0.29925280083229,0,30,0,0,0,0,0,100,0,0,0,0,30,100
"Pachystoma pubescens","2",0.297518437568419,0.012,0.294039600689347,1,30,0,0,0,0,3.2,96.8,0,0,0,0,31,96.8
"Coelogyne articulata","2",0.295942681048347,0.011,0.279198752970118,5,31,0,0,0,0,13.9,86.1,0,0,0,0,36,86.1
"Bulbophyllum odoratissimum","2",0.294863658643309,0.011,0.265772888656084,9,32,0,0,0,0,22,78,0,0,0,0,41,78
