"Group","n_species","mean_Stat","mean_Percentage"
"1",370,0.183432441953579,95.6089189189189
"2",1303,0.164858157938654,91.984497313891
"3",717,0.322426053405089,96.8874476987448
"4",13,0.7491061757417,91.3307692307692
"5",2979,0.163432011225995,99.7136623027862
"6",979,0.186212815495899,99.8642492339122
