datasetName,fileName,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary
GBIF,/Users/derio/orchid_bioregionalisation/processed-data/dataselection_spatial-errors/orchid-clear-gbif.csv,species,decimalLatitude,decimalLongitude,gbifID,kingdom,phylum,class,order,family,genus,taxonRank,verbatimScientificNameAuthorship,locality,NA,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary
RAINBIO,/Users/derio/orchid_bioregionalisation/processed-data/dataselection_spatial-errors/orchid-clear-rainbio.csv,tax_sp_level,decimalLatitude,decimalLongitude,idrb,NA,phylum,NA,order,family,genus,taxonRank,NA,NA,country,countryCode,NA,NA,NA,basisOfRecord,institutionCode,NA,catalogNumber,NA,NA,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary
SPECIESLINKS,/Users/derio/orchid_bioregionalisation/processed-data/dataselection_spatial-errors/orchid-clear-links.csv,scientificName.new,latitude,longitude,catalognumber,kingdom,phylum,taxonclass,ordem,family,genus,NA,scientificnameauthor,locality,country,country,NA,monthcollected,yearcollected,basisofrecord,institutioncode,collectioncode,catalognumber,collectornumber,collector,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary
ALA,/Users/derio/orchid_bioregionalisation/processed-data/dataselection_spatial-errors/orchid-clear-ala.csv,scientificName,decimalLatitude,decimalLongitude,dataResourceUid,kingdom,phylum,class,order,family,genus,taxonRank,scientificNameAuthorship,locality,country,countryCode,verbatimElevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary
