"","k","silh","ex.diss"
"1",2,0.0838128569055319,0.305600484414597
"2",3,0.124881063009715,0.504108458467681
"3",4,0.13765298779117,0.569638244223132
"4",5,0.152182321469349,0.760251347492673
"5",6,0.158771780491474,0.806691847686439
"6",7,0.157515163527603,0.814605949395068
"7",8,0.166816477972654,0.840647541634526
"8",9,0.172409429128385,0.876904952251856
"9",10,0.173275271467586,0.901605635161437
"10",11,0.163973904816435,0.907840531551054
"11",12,0.167688819368177,0.91775297155526
"12",13,0.16792011778173,0.926849423210923
"13",14,0.17397499480902,0.930186061892551
"14",15,0.148292191055017,0.929017669594575
"15",16,0.149457900074798,0.937255053984446
"16",17,0.151755290492717,0.939345899540502
"17",18,0.151473018565493,0.944945867482915
"18",19,0.144044854354738,0.947087020463182
"19",20,0.141575754104313,0.94858875289369
"20",21,0.149159271866011,0.949349452207946
"21",22,0.148640933085553,0.94982937520083
"22",23,0.150492619243056,0.9507463235824
"23",24,0.147023097551119,0.955406817332826
"24",25,0.15045483902918,0.955504141153627
"25",26,0.154181143192104,0.959064954495801
"26",27,0.154117387720576,0.964864942499724
"27",28,0.157658284711806,0.966130518214778
"28",29,0.154792606576766,0.967216001439967
"29",30,0.156312970600436,0.967577422828711
