"","tax_sp_level","phylum","order","species","family","genus","specificEpithet","a_habit","nbe_records"
"7271","Crotalaria iringana","Magnoliophyta","Fabales","Crotalaria iringana","Fabaceae","Crotalaria","iringana","herb","12"
"7272","Crotalaria ivantulensis","Magnoliophyta","Fabales","Crotalaria ivantulensis","Fabaceae","Crotalaria","ivantulensis","shrub","7"
"7273","Crotalaria jacksonii","Magnoliophyta","Fabales","Crotalaria jacksonii","Fabaceae","Crotalaria","jacksonii","shrub","1"
"7274","Crotalaria jijigensis","Magnoliophyta","Fabales","Crotalaria jijigensis","Fabaceae","Crotalaria","jijigensis","herb","3"
"7275","Crotalaria johannis","Magnoliophyta","Fabales","Crotalaria johannis","Fabaceae","Crotalaria","johannis","shrub","2"
"7276","Crotalaria johnstonii","Magnoliophyta","Fabales","Crotalaria johnstonii","Fabaceae","Crotalaria","johnstonii","herb","3"
"7277","Crotalaria jubae","Magnoliophyta","Fabales","Crotalaria jubae","Fabaceae","Crotalaria","jubae","shrub","1"
"7278","Crotalaria jurioniana","Magnoliophyta","Fabales","Crotalaria jurioniana","Fabaceae","Crotalaria","jurioniana","","9"
"7279","Crotalaria kambanguensis","Magnoliophyta","Fabales","Crotalaria kambanguensis","Fabaceae","Crotalaria","kambanguensis","herb","1"
"7280","Crotalaria kambolensis","Magnoliophyta","Fabales","Crotalaria kambolensis","Fabaceae","Crotalaria","kambolensis","shrub","10"
"7281","Crotalaria kandoensis","Magnoliophyta","Fabales","Crotalaria kandoensis","Fabaceae","Crotalaria","kandoensis","herb","6"
"7282","Crotalaria kapiriensis","Magnoliophyta","Fabales","Crotalaria kapiriensis","Fabaceae","Crotalaria","kapiriensis","shrub","21"
"7283","Crotalaria karagwensis","Magnoliophyta","Fabales","Crotalaria karagwensis","Fabaceae","Crotalaria","karagwensis","herb","14"
"7284","Crotalaria keniensis","Magnoliophyta","Fabales","Crotalaria keniensis","Fabaceae","Crotalaria","keniensis","shrub","39"
"7285","Crotalaria kerkvoordei","Magnoliophyta","Fabales","Crotalaria kerkvoordei","Fabaceae","Crotalaria","kerkvoordei","herb","7"
"7286","Crotalaria kibaraensis","Magnoliophyta","Fabales","Crotalaria kibaraensis","Fabaceae","Crotalaria","kibaraensis","herb","2"
"7287","Crotalaria kipandensis","Magnoliophyta","Fabales","Crotalaria kipandensis","Fabaceae","Crotalaria","kipandensis","herb","28"
"7288","Crotalaria kipilaensis","Magnoliophyta","Fabales","Crotalaria kipilaensis","Fabaceae","Crotalaria","kipilaensis","herb","11"
"7289","Crotalaria kirkii","Magnoliophyta","Fabales","Crotalaria kirkii","Fabaceae","Crotalaria","kirkii","herb","6"
"7290","Crotalaria kundelunguensis","Magnoliophyta","Fabales","Crotalaria kundelunguensis","Fabaceae","Crotalaria","kundelunguensis","herb","1"
"7291","Crotalaria kwengeensis","Magnoliophyta","Fabales","Crotalaria kwengeensis","Fabaceae","Crotalaria","kwengeensis","shrub","5"
"7292","Crotalaria kwengeensis","Magnoliophyta","Fabales","Crotalaria kwengeensis var. parviflora","Fabaceae","Crotalaria","kwengeensis","shrub","5"
"7293","Crotalaria laburnifolia","Magnoliophyta","Fabales","Crotalaria laburnifolia subsp. petiolaris","Fabaceae","Crotalaria","laburnifolia","shrub","161"
"7294","Crotalaria laburnifolia","Magnoliophyta","Fabales","Crotalaria laburnifolia subsp. australis","Fabaceae","Crotalaria","laburnifolia","shrub","161"
"7295","Crotalaria laburnifolia","Magnoliophyta","Fabales","Crotalaria laburnifolia subsp. eldomae","Fabaceae","Crotalaria","laburnifolia","shrub","161"
"7296","Crotalaria laburnifolia","Magnoliophyta","Fabales","Crotalaria laburnifolia","Fabaceae","Crotalaria","laburnifolia","shrub","161"
"7297","Crotalaria laburnifolia","Magnoliophyta","Fabales","Crotalaria laburnifolia subsp. laburnifolia","Fabaceae","Crotalaria","laburnifolia","shrub","161"
"7298","Crotalaria laburnifolia","Magnoliophyta","Fabales","Crotalaria laburnifolia subsp. tenuicarpa","Fabaceae","Crotalaria","laburnifolia","shrub","161"
"7299","Crotalaria laburnoides","Magnoliophyta","Fabales","Crotalaria laburnoides var. laburnoides","Fabaceae","Crotalaria","laburnoides","herb","76"
"7300","Crotalaria laburnoides","Magnoliophyta","Fabales","Crotalaria laburnoides","Fabaceae","Crotalaria","laburnoides","herb","76"
"7301","Crotalaria laburnoides","Magnoliophyta","Fabales","Crotalaria laburnoides var. nudicarpa","Fabaceae","Crotalaria","laburnoides","herb","76"
"7302","Crotalaria lachnocarpoides","Magnoliophyta","Fabales","Crotalaria lachnocarpoides","Fabaceae","Crotalaria","lachnocarpoides","shrub","95"
"7303","Crotalaria lachnophora","Magnoliophyta","Fabales","Crotalaria lachnophora","Fabaceae","Crotalaria","lachnophora","shrub","55"
"7304","Crotalaria lachnosema","Magnoliophyta","Fabales","Crotalaria lachnosema","Fabaceae","Crotalaria","lachnosema","shrub","34"
"7305","Crotalaria lanceolata","Magnoliophyta","Fabales","Crotalaria lanceolata","Fabaceae","Crotalaria","lanceolata","herb","28"
"7306","Crotalaria lanceolata","Magnoliophyta","Fabales","Crotalaria lanceolata subsp. exigua","Fabaceae","Crotalaria","lanceolata","herb","28"
"7307","Crotalaria lanceolata","Magnoliophyta","Fabales","Crotalaria lanceolata subsp. prognatha","Fabaceae","Crotalaria","lanceolata","herb","28"
"7308","Crotalaria lanceolata","Magnoliophyta","Fabales","Crotalaria lanceolata subsp. lanceolata","Fabaceae","Crotalaria","lanceolata","herb","28"
"7309","Crotalaria lancifoliolata","Magnoliophyta","Fabales","Crotalaria lancifoliolata","Fabaceae","Crotalaria","lancifoliolata","","2"
"7310","Crotalaria lathyroides","Magnoliophyta","Fabales","Crotalaria lathyroides","Fabaceae","Crotalaria","lathyroides","herb","39"
"7311","Crotalaria lawalreeana","Magnoliophyta","Fabales","Crotalaria lawalreeana","Fabaceae","Crotalaria","lawalreeana","shrub","2"
"7312","Crotalaria laxiflora","Magnoliophyta","Fabales","Crotalaria laxiflora","Fabaceae","Crotalaria","laxiflora","herb","2"
"7313","Crotalaria laxiflora","Magnoliophyta","Fabales","Crotalaria laxiflora var. laxiflora","Fabaceae","Crotalaria","laxiflora","herb","2"
"7314","Crotalaria lebrunii","Magnoliophyta","Fabales","Crotalaria lebrunii","Fabaceae","Crotalaria","lebrunii","shrub","5"
"7315","Crotalaria ledermannii","Magnoliophyta","Fabales","Crotalaria ledermannii","Fabaceae","Crotalaria","ledermannii","herb","7"
"7316","Crotalaria leonardiana","Magnoliophyta","Fabales","Crotalaria leonardiana","Fabaceae","Crotalaria","leonardiana","herb","1"
"7317","Crotalaria leprieurii","Magnoliophyta","Fabales","Crotalaria leprieurii","Fabaceae","Crotalaria","leprieurii","herb","52"
"7318","Crotalaria leptocarpa","Magnoliophyta","Fabales","Crotalaria leptocarpa","Fabaceae","Crotalaria","leptocarpa","herb","9"
"7319","Crotalaria leptoclada","Magnoliophyta","Fabales","Crotalaria leptoclada","Fabaceae","Crotalaria","leptoclada","herb","40"
"7320","Crotalaria leptoclada","Magnoliophyta","Fabales","Crotalaria leptoclada var. bianoensis","Fabaceae","Crotalaria","leptoclada","herb","40"
"7321","Crotalaria leubnitziana","Magnoliophyta","Fabales","Crotalaria leubnitziana","Fabaceae","Crotalaria","leubnitziana","","3"
"7322","Crotalaria limosa","Magnoliophyta","Fabales","Crotalaria limosa","Fabaceae","Crotalaria","limosa","herb","1"
"7323","Crotalaria lisowskii","Magnoliophyta","Fabales","Crotalaria lisowskii","Fabaceae","Crotalaria","lisowskii","herb","5"
"7324","Crotalaria longithyrsa","Magnoliophyta","Fabales","Crotalaria longithyrsa","Fabaceae","Crotalaria","longithyrsa","herb","19"
"7325","Crotalaria longithyrsa","Magnoliophyta","Fabales","Crotalaria longithyrsa var. latifolia","Fabaceae","Crotalaria","longithyrsa","herb","19"
"7326","Crotalaria lotiformis","Magnoliophyta","Fabales","Crotalaria lotiformis","Fabaceae","Crotalaria","lotiformis","herb","12"
"7327","Crotalaria lotoides","Magnoliophyta","Fabales","Crotalaria lotoides","Fabaceae","Crotalaria","lotoides","shrublet","129"
"7328","Crotalaria lukafuensis","Magnoliophyta","Fabales","Crotalaria lukafuensis","Fabaceae","Crotalaria","lukafuensis","herb","12"
"7329","Crotalaria lukomae","Magnoliophyta","Fabales","Crotalaria lukomae","Fabaceae","Crotalaria","lukomae","shrublet","2"
"7330","Crotalaria lukwangulensis","Magnoliophyta","Fabales","Crotalaria lukwangulensis","Fabaceae","Crotalaria","lukwangulensis","shrub","45"
"7331","Crotalaria lundensis","Magnoliophyta","Fabales","Crotalaria lundensis","Fabaceae","Crotalaria","lundensis","","1"
"7332","Crotalaria luondeensis","Magnoliophyta","Fabales","Crotalaria luondeensis","Fabaceae","Crotalaria","luondeensis","","1"
"7333","Crotalaria lusamboensis","Magnoliophyta","Fabales","Crotalaria lusamboensis","Fabaceae","Crotalaria","lusamboensis","herb","1"
"7334","Crotalaria lusingaensis","Magnoliophyta","Fabales","Crotalaria lusingaensis","Fabaceae","Crotalaria","lusingaensis","","3"
"7335","Crotalaria luxenii","Magnoliophyta","Fabales","Crotalaria luxenii","Fabaceae","Crotalaria","luxenii","","1"
"7336","Crotalaria macrantha","Magnoliophyta","Fabales","Crotalaria macrantha","Fabaceae","Crotalaria","macrantha","herb","1"
"7337","Crotalaria macrocalyx","Magnoliophyta","Fabales","Crotalaria macrocalyx","Fabaceae","Crotalaria","macrocalyx","herb","45"
"7338","Crotalaria macrocarpa","Magnoliophyta","Fabales","Crotalaria macrocarpa","Fabaceae","Crotalaria","macrocarpa","shrub","1"
"7339","Crotalaria malindiensis","Magnoliophyta","Fabales","Crotalaria malindiensis","Fabaceae","Crotalaria","malindiensis","herb","13"
"7340","Crotalaria massaiensis","Magnoliophyta","Fabales","Crotalaria massaiensis","Fabaceae","Crotalaria","massaiensis","herb","18"
"7341","Crotalaria mauensis","Magnoliophyta","Fabales","Crotalaria mauensis","Fabaceae","Crotalaria","mauensis","shrub","16"
"7342","Crotalaria mendesii","Magnoliophyta","Fabales","Crotalaria mendesii","Fabaceae","Crotalaria","mendesii","shrub","12"
"7343","Crotalaria mendoncae","Magnoliophyta","Fabales","Crotalaria mendoncae","Fabaceae","Crotalaria","mendoncae","","1"
"7344","Crotalaria mentiens","Magnoliophyta","Fabales","Crotalaria mentiens","Fabaceae","Crotalaria","mentiens","herb","1"
"7345","Crotalaria mesopontica","Magnoliophyta","Fabales","Crotalaria mesopontica subsp. mesopontica","Fabaceae","Crotalaria","mesopontica","shrub","74"
"7346","Crotalaria mesopontica","Magnoliophyta","Fabales","Crotalaria mesopontica subsp. glabrescens","Fabaceae","Crotalaria","mesopontica","shrub","74"
"7347","Crotalaria mesopontica","Magnoliophyta","Fabales","Crotalaria mesopontica","Fabaceae","Crotalaria","mesopontica","shrub","74"
"7348","Crotalaria microthamnus","Magnoliophyta","Fabales","Crotalaria microthamnus","Fabaceae","Crotalaria","microthamnus","herb","4"
"7349","Crotalaria mildbraedii","Magnoliophyta","Fabales","Crotalaria mildbraedii","Fabaceae","Crotalaria","mildbraedii","shrub","14"
"7350","Crotalaria milneana","Magnoliophyta","Fabales","Crotalaria milneana","Fabaceae","Crotalaria","milneana","herb","1"
"7351","Crotalaria minutissima","Magnoliophyta","Fabales","Crotalaria minutissima","Fabaceae","Crotalaria","minutissima","herb","9"
"7352","Crotalaria misella","Magnoliophyta","Fabales","Crotalaria misella","Fabaceae","Crotalaria","misella","herb","2"
"7353","Crotalaria mocubensis","Magnoliophyta","Fabales","Crotalaria mocubensis","Fabaceae","Crotalaria","mocubensis","herb","3"
"7354","Crotalaria modesta","Magnoliophyta","Fabales","Crotalaria modesta","Fabaceae","Crotalaria","modesta","herb","2"
"7355","Crotalaria monteiroi","Magnoliophyta","Fabales","Crotalaria monteiroi","Fabaceae","Crotalaria","monteiroi","shrub","17"
"7356","Crotalaria monteiroi","Magnoliophyta","Fabales","Crotalaria monteiroi var. galpinii","Fabaceae","Crotalaria","monteiroi","shrub","17"
"7357","Crotalaria monteiroi","Magnoliophyta","Fabales","Crotalaria monteiroi var. monteiroi","Fabaceae","Crotalaria","monteiroi","shrub","17"
"7358","Crotalaria mortonii","Magnoliophyta","Fabales","Crotalaria mortonii","Fabaceae","Crotalaria","mortonii","herb","13"
"7359","Crotalaria morumbensis","Magnoliophyta","Fabales","Crotalaria morumbensis","Fabaceae","Crotalaria","morumbensis","herb","14"
"7360","Crotalaria muenzneri","Magnoliophyta","Fabales","Crotalaria muenzneri","Fabaceae","Crotalaria","muenzneri","herb","11"
"7361","Crotalaria mwangulangoi","Magnoliophyta","Fabales","Crotalaria mwangulangoi","Fabaceae","Crotalaria","mwangulangoi","shrub","2"
"7362","Crotalaria naragutensis","Magnoliophyta","Fabales","Crotalaria naragutensis","Fabaceae","Crotalaria","naragutensis","shrub","39"
"7363","Crotalaria natalitia","Magnoliophyta","Fabales","Crotalaria natalitia","Fabaceae","Crotalaria","natalitia","shrub","134"
"7364","Crotalaria natalitia","Magnoliophyta","Fabales","Crotalaria natalitia var. natalitia","Fabaceae","Crotalaria","natalitia","shrub","134"
"7365","Crotalaria natalitia","Magnoliophyta","Fabales","Crotalaria natalitia var. rutshuruensis","Fabaceae","Crotalaria","natalitia","shrub","134"
"7366","Crotalaria nigricans","Magnoliophyta","Fabales","Crotalaria nigricans var. erecta","Fabaceae","Crotalaria","nigricans","herb","5"
"7367","Crotalaria nigricans","Magnoliophyta","Fabales","Crotalaria nigricans","Fabaceae","Crotalaria","nigricans","herb","5"
"7368","Crotalaria nigricans","Magnoliophyta","Fabales","Crotalaria nigricans var. nigricans","Fabaceae","Crotalaria","nigricans","herb","5"
"7369","Crotalaria nuda","Magnoliophyta","Fabales","Crotalaria nuda","Fabaceae","Crotalaria","nuda","herb","13"
"7370","Crotalaria nudiflora","Magnoliophyta","Fabales","Crotalaria nudiflora","Fabaceae","Crotalaria","nudiflora","herb","1"
"7371","Crotalaria nyikensis","Magnoliophyta","Fabales","Crotalaria nyikensis","Fabaceae","Crotalaria","nyikensis","herb","2"
"7372","Crotalaria obscura","Magnoliophyta","Fabales","Crotalaria obscura","Fabaceae","Crotalaria","obscura","","2"
"7373","Crotalaria occidentalis","Magnoliophyta","Fabales","Crotalaria occidentalis","Fabaceae","Crotalaria","occidentalis","herb","2"
"7374","Crotalaria ochroleuca","Magnoliophyta","Fabales","Crotalaria ochroleuca","Fabaceae","Crotalaria","ochroleuca","herb","78"
"7375","Crotalaria oligosperma","Magnoliophyta","Fabales","Crotalaria oligosperma","Fabaceae","Crotalaria","oligosperma","shrub","6"
"7376","Crotalaria oligostachya","Magnoliophyta","Fabales","Crotalaria oligostachya","Fabaceae","Crotalaria","oligostachya","herb","1"
"7377","Crotalaria onobrychis","Magnoliophyta","Fabales","Crotalaria onobrychis","Fabaceae","Crotalaria","onobrychis","herb","4"
"7378","Crotalaria ononoides","Magnoliophyta","Fabales","Crotalaria ononoides","Fabaceae","Crotalaria","ononoides","herb","82"
"7379","Crotalaria oocarpa","Magnoliophyta","Fabales","Crotalaria oocarpa","Fabaceae","Crotalaria","oocarpa","herb","16"
"7380","Crotalaria oocarpa","Magnoliophyta","Fabales","Crotalaria oocarpa subsp. microcarpa","Fabaceae","Crotalaria","oocarpa","herb","16"
"7381","Crotalaria oocarpa","Magnoliophyta","Fabales","Crotalaria oocarpa subsp. oocarpa","Fabaceae","Crotalaria","oocarpa","herb","16"
"7382","Crotalaria orixensis","Magnoliophyta","Fabales","Crotalaria orixensis","Fabaceae","Crotalaria","orixensis","herb","1"
"7383","Crotalaria ovata","Magnoliophyta","Fabales","Crotalaria ovata","Fabaceae","Crotalaria","ovata","herb","3"
"7384","Crotalaria oxyphylla","Magnoliophyta","Fabales","Crotalaria oxyphylla","Fabaceae","Crotalaria","oxyphylla","herb","12"
"7385","Crotalaria oxyphylloides","Magnoliophyta","Fabales","Crotalaria oxyphylloides","Fabaceae","Crotalaria","oxyphylloides","","2"
"7386","Crotalaria pallida","Magnoliophyta","Fabales","Crotalaria pallida var. pallida","Fabaceae","Crotalaria","pallida","herb","115"
"7387","Crotalaria pallida","Magnoliophyta","Fabales","Crotalaria pallida var. obovata","Fabaceae","Crotalaria","pallida","herb","115"
"7388","Crotalaria pallida","Magnoliophyta","Fabales","Crotalaria pallida","Fabaceae","Crotalaria","pallida","herb","115"
"7389","Crotalaria pallidicaulis","Magnoliophyta","Fabales","Crotalaria pallidicaulis","Fabaceae","Crotalaria","pallidicaulis","shrub","8"
"7390","Crotalaria papillosum","Magnoliophyta","Fabales","Crotalaria papillosum","Fabaceae","Crotalaria","papillosum","shrub","14"
"7391","Crotalaria paracistoides","Magnoliophyta","Fabales","Crotalaria paracistoides","Fabaceae","Crotalaria","paracistoides","herb","5"
"7392","Crotalaria paraspartea","Magnoliophyta","Fabales","Crotalaria paraspartea","Fabaceae","Crotalaria","paraspartea","herb","2"
"7393","Crotalaria parvula","Magnoliophyta","Fabales","Crotalaria parvula","Fabaceae","Crotalaria","parvula","herb","5"
"7394","Crotalaria passerinoides","Magnoliophyta","Fabales","Crotalaria passerinoides","Fabaceae","Crotalaria","passerinoides","herb","1"
"7395","Crotalaria patula","Magnoliophyta","Fabales","Crotalaria patula","Fabaceae","Crotalaria","patula","herb","5"
"7396","Crotalaria pentaphylla","Magnoliophyta","Fabales","Crotalaria pentaphylla","Fabaceae","Crotalaria","pentaphylla","herb","1"
"7397","Crotalaria perbracteolata","Magnoliophyta","Fabales","Crotalaria perbracteolata","Fabaceae","Crotalaria","perbracteolata","herb","1"
"7398","Crotalaria perrottetii","Magnoliophyta","Fabales","Crotalaria perrottetii","Fabaceae","Crotalaria","perrottetii","herb","6"
"7399","Crotalaria peschiana","Magnoliophyta","Fabales","Crotalaria peschiana","Fabaceae","Crotalaria","peschiana","","10"
"7400","Crotalaria petitiana","Magnoliophyta","Fabales","Crotalaria petitiana","Fabaceae","Crotalaria","petitiana","herb","16"
"7401","Crotalaria phillipsiae","Magnoliophyta","Fabales","Crotalaria phillipsiae","Fabaceae","Crotalaria","phillipsiae","tree","4"
"7402","Crotalaria phylloloba","Magnoliophyta","Fabales","Crotalaria phylloloba","Fabaceae","Crotalaria","phylloloba","herb","3"
"7403","Crotalaria phyllostachys","Magnoliophyta","Fabales","Crotalaria phyllostachys","Fabaceae","Crotalaria","phyllostachys","herb","3"
"7404","Crotalaria pilosiflora","Magnoliophyta","Fabales","Crotalaria pilosiflora","Fabaceae","Crotalaria","pilosiflora","shrub","4"
"7405","Crotalaria pisicarpa","Magnoliophyta","Fabales","Crotalaria pisicarpa","Fabaceae","Crotalaria","pisicarpa","herb","9"
"7406","Crotalaria pittardiana","Magnoliophyta","Fabales","Crotalaria pittardiana","Fabaceae","Crotalaria","pittardiana","herb","15"
"7407","Crotalaria platysepala","Magnoliophyta","Fabales","Crotalaria platysepala","Fabaceae","Crotalaria","platysepala","shrub","10"
"7408","Crotalaria pleiophylla","Magnoliophyta","Fabales","Crotalaria pleiophylla","Fabaceae","Crotalaria","pleiophylla","herb","1"
"7409","Crotalaria plowdenii","Magnoliophyta","Fabales","Crotalaria plowdenii","Fabaceae","Crotalaria","plowdenii","herb","9"
"7410","Crotalaria podocarpa","Magnoliophyta","Fabales","Crotalaria podocarpa","Fabaceae","Crotalaria","podocarpa","herb","15"
"7411","Crotalaria polhillii","Magnoliophyta","Fabales","Crotalaria polhillii","Fabaceae","Crotalaria","polhillii","herb","2"
"7412","Crotalaria polyantha","Magnoliophyta","Fabales","Crotalaria polyantha","Fabaceae","Crotalaria","polyantha","shrub","6"
"7413","Crotalaria polychroma","Magnoliophyta","Fabales","Crotalaria polychroma","Fabaceae","Crotalaria","polychroma","herb","1"
"7414","Crotalaria polygaloides","Magnoliophyta","Fabales","Crotalaria polygaloides","Fabaceae","Crotalaria","polygaloides","herb","5"
"7415","Crotalaria polysperma","Magnoliophyta","Fabales","Crotalaria polysperma","Fabaceae","Crotalaria","polysperma","herb","62"
"7416","Crotalaria praetexta","Magnoliophyta","Fabales","Crotalaria praetexta","Fabaceae","Crotalaria","praetexta","herb","1"
"7417","Crotalaria prittwitzii","Magnoliophyta","Fabales","Crotalaria prittwitzii","Fabaceae","Crotalaria","prittwitzii","herb","2"
"7418","Crotalaria prolongata","Magnoliophyta","Fabales","Crotalaria prolongata","Fabaceae","Crotalaria","prolongata","herb","1"
"7419","Crotalaria psammophila","Magnoliophyta","Fabales","Crotalaria psammophila","Fabaceae","Crotalaria","psammophila","herb","3"
"7420","Crotalaria pseudo-alexandri","Magnoliophyta","Fabales","Crotalaria pseudo-alexandri","Fabaceae","Crotalaria","pseudo-alexandri","herb","1"
"7421","Crotalaria pseudodiloloensis","Magnoliophyta","Fabales","Crotalaria pseudodiloloensis","Fabaceae","Crotalaria","pseudodiloloensis","","8"
"7422","Crotalaria pseudoseretii","Magnoliophyta","Fabales","Crotalaria pseudoseretii","Fabaceae","Crotalaria","pseudoseretii","herb","3"
"7423","Crotalaria pseudospartium","Magnoliophyta","Fabales","Crotalaria pseudospartium","Fabaceae","Crotalaria","pseudospartium","shrub","12"
"7424","Crotalaria pseudotenuirama","Magnoliophyta","Fabales","Crotalaria pseudotenuirama","Fabaceae","Crotalaria","pseudotenuirama","herb","21"
"7425","Crotalaria pseudovirgultalis","Magnoliophyta","Fabales","Crotalaria pseudovirgultalis","Fabaceae","Crotalaria","pseudovirgultalis","shrub","1"
"7426","Crotalaria pterocalyx","Magnoliophyta","Fabales","Crotalaria pterocalyx","Fabaceae","Crotalaria","pterocalyx","shrub","6"
"7427","Crotalaria pterospartioides","Magnoliophyta","Fabales","Crotalaria pterospartioides","Fabaceae","Crotalaria","pterospartioides","herb","1"
"7428","Crotalaria pudica","Magnoliophyta","Fabales","Crotalaria pudica","Fabaceae","Crotalaria","pudica","herb","5"
"7429","Crotalaria pycnostachya","Magnoliophyta","Fabales","Crotalaria pycnostachya subsp. pycnostachya","Fabaceae","Crotalaria","pycnostachya","herb","55"
"7430","Crotalaria pycnostachya","Magnoliophyta","Fabales","Crotalaria pycnostachya","Fabaceae","Crotalaria","pycnostachya","herb","55"
"7431","Crotalaria pycnostachya","Magnoliophyta","Fabales","Crotalaria pycnostachya subsp. donaldsonii","Fabaceae","Crotalaria","pycnostachya","herb","55"
"7432","Crotalaria pygmaea","Magnoliophyta","Fabales","Crotalaria pygmaea","Fabaceae","Crotalaria","pygmaea","herb","1"
"7433","Crotalaria quangensis","Magnoliophyta","Fabales","Crotalaria quangensis var. mullendersii","Fabaceae","Crotalaria","quangensis","herb","28"
"7434","Crotalaria quangensis","Magnoliophyta","Fabales","Crotalaria quangensis","Fabaceae","Crotalaria","quangensis","herb","28"
"7435","Crotalaria quangensis","Magnoliophyta","Fabales","Crotalaria quangensis var. quangensis","Fabaceae","Crotalaria","quangensis","herb","28"
"7436","Crotalaria quangensis","Magnoliophyta","Fabales","Crotalaria quangensis var. malangensis","Fabaceae","Crotalaria","quangensis","herb","28"
"7437","Crotalaria quangensis","Magnoliophyta","Fabales","Crotalaria quangensis var. capituliformis","Fabaceae","Crotalaria","quangensis","herb","28"
"7438","Crotalaria quarrei","Magnoliophyta","Fabales","Crotalaria quarrei","Fabaceae","Crotalaria","quarrei","herb","12"
"7439","Crotalaria quarrei","Magnoliophyta","Fabales","Crotalaria quarrei var. longipes","Fabaceae","Crotalaria","quarrei","herb","12"
"7440","Crotalaria quartiniana","Magnoliophyta","Fabales","Crotalaria quartiniana","Fabaceae","Crotalaria","quartiniana","herb","16"
"7441","Crotalaria reclinata","Magnoliophyta","Fabales","Crotalaria reclinata","Fabaceae","Crotalaria","reclinata","herb","1"
"7442","Crotalaria recta","Magnoliophyta","Fabales","Crotalaria recta","Fabaceae","Crotalaria","recta","herb","115"
"7443","Crotalaria recumbens","Magnoliophyta","Fabales","Crotalaria recumbens","Fabaceae","Crotalaria","recumbens","herb","8"
"7444","Crotalaria renieriana","Magnoliophyta","Fabales","Crotalaria renieriana","Fabaceae","Crotalaria","renieriana","shrub","3"
"7445","Crotalaria reptans","Magnoliophyta","Fabales","Crotalaria reptans","Fabaceae","Crotalaria","reptans","herb","5"
"7446","Crotalaria retusa","Magnoliophyta","Fabales","Crotalaria retusa","Fabaceae","Crotalaria","retusa","herb","131"
"7447","Crotalaria retusa","Magnoliophyta","Fabales","Crotalaria retusa var. retusa","Fabaceae","Crotalaria","retusa","herb","131"
"7448","Crotalaria retusa","Magnoliophyta","Fabales","Crotalaria retusa var. tunguensis","Fabaceae","Crotalaria","retusa","herb","131"
"7449","Crotalaria rhizoclada","Magnoliophyta","Fabales","Crotalaria rhizoclada","Fabaceae","Crotalaria","rhizoclada","herb","12"
"7450","Crotalaria rhodesiae","Magnoliophyta","Fabales","Crotalaria rhodesiae","Fabaceae","Crotalaria","rhodesiae","herb","3"
"7451","Crotalaria rhynchocarpa","Magnoliophyta","Fabales","Crotalaria rhynchocarpa","Fabaceae","Crotalaria","rhynchocarpa","shrub","16"
"7452","Crotalaria rhynchotropioides","Magnoliophyta","Fabales","Crotalaria rhynchotropioides","Fabaceae","Crotalaria","rhynchotropioides","","1"
"7453","Crotalaria ringoetii","Magnoliophyta","Fabales","Crotalaria ringoetii","Fabaceae","Crotalaria","ringoetii","shrub","2"
"7454","Crotalaria riparia","Magnoliophyta","Fabales","Crotalaria riparia","Fabaceae","Crotalaria","riparia","herb","4"
"7455","Crotalaria rogersii","Magnoliophyta","Fabales","Crotalaria rogersii","Fabaceae","Crotalaria","rogersii","herb","18"
"7456","Crotalaria rosenii","Magnoliophyta","Fabales","Crotalaria rosenii","Fabaceae","Crotalaria","rosenii","shrub","10"
"7457","Crotalaria rufocaulis","Magnoliophyta","Fabales","Crotalaria rufocaulis","Fabaceae","Crotalaria","rufocaulis","herb","11"
"7458","Crotalaria ruspoliana","Magnoliophyta","Fabales","Crotalaria ruspoliana","Fabaceae","Crotalaria","ruspoliana","herb","1"
"7459","Crotalaria sacculata","Magnoliophyta","Fabales","Crotalaria sacculata","Fabaceae","Crotalaria","sacculata","herb","2"
"7460","Crotalaria saharae","Magnoliophyta","Fabales","Crotalaria saharae","Fabaceae","Crotalaria","saharae","","1"
"7461","Crotalaria saltiana","Magnoliophyta","Fabales","Crotalaria saltiana","Fabaceae","Crotalaria","saltiana","shrub","12"
"7462","Crotalaria sapinii","Magnoliophyta","Fabales","Crotalaria sapinii subsp. kasaiensis","Fabaceae","Crotalaria","sapinii","herb","6"
"7463","Crotalaria sapinii","Magnoliophyta","Fabales","Crotalaria sapinii","Fabaceae","Crotalaria","sapinii","herb","6"
"7464","Crotalaria scassellatii","Magnoliophyta","Fabales","Crotalaria scassellatii","Fabaceae","Crotalaria","scassellatii","herb","4"
"7465","Crotalaria schlechteri","Magnoliophyta","Fabales","Crotalaria schlechteri","Fabaceae","Crotalaria","schlechteri","herb","2"
"7466","Crotalaria schliebenii","Magnoliophyta","Fabales","Crotalaria schliebenii","Fabaceae","Crotalaria","schliebenii","herb","3"
"7467","Crotalaria schmitzii","Magnoliophyta","Fabales","Crotalaria schmitzii","Fabaceae","Crotalaria","schmitzii","herb","1"
"7468","Crotalaria seemeniana","Magnoliophyta","Fabales","Crotalaria seemeniana","Fabaceae","Crotalaria","seemeniana","herb","3"
"7469","Crotalaria senegalensis","Magnoliophyta","Fabales","Crotalaria senegalensis","Fabaceae","Crotalaria","senegalensis","herb","23"
"7470","Crotalaria serengetiana","Magnoliophyta","Fabales","Crotalaria serengetiana","Fabaceae","Crotalaria","serengetiana","herb","7"
"7471","Crotalaria sericifolia","Magnoliophyta","Fabales","Crotalaria sericifolia","Fabaceae","Crotalaria","sericifolia","shrublet","3"
