"","tax_sp_level","phylum","order","species","family","genus","specificEpithet","a_habit","nbe_records"
"34","Abutilon wituense","Magnoliophyta","Malvales","Abutilon wituense","Malvaceae","Abutilon","wituense","herb","1"
"35","Acacia abyssinica","Magnoliophyta","Fabales","Acacia abyssinica subsp. calophylla","Fabaceae","Acacia","abyssinica","shrub","72"
"36","Acacia abyssinica","Magnoliophyta","Fabales","Acacia abyssinica","Fabaceae","Acacia","abyssinica","shrub","72"
"37","Acacia abyssinica","Magnoliophyta","Fabales","Acacia abyssinica subsp. abyssinica","Fabaceae","Acacia","abyssinica","shrub","72"
"38","Acacia adenocalyx","Magnoliophyta","Fabales","Acacia adenocalyx","Fabaceae","Acacia","adenocalyx","shrub","44"
"39","Acacia amythethophylla","Magnoliophyta","Fabales","Acacia amythethophylla","Fabaceae","Acacia","amythethophylla","tree","91"
"40","Acacia ancistroclada","Magnoliophyta","Fabales","Acacia ancistroclada","Fabaceae","Acacia","ancistroclada","tree","12"
"41","Acacia ankokib","Magnoliophyta","Fabales","Acacia ankokib","Fabaceae","Acacia","ankokib","tree","11"
"42","Acacia antunesii","Magnoliophyta","Fabales","Acacia antunesii","Fabaceae","Acacia","antunesii","tree","1"
"43","Acacia arenaria","Magnoliophyta","Fabales","Acacia arenaria","Fabaceae","Acacia","arenaria","shrub","4"
"44","Acacia asak","Magnoliophyta","Fabales","Acacia asak","Fabaceae","Acacia","asak","tree","6"
"45","Acacia ataxacantha","Magnoliophyta","Fabales","Acacia ataxacantha","Fabaceae","Acacia","ataxacantha","shrub","104"
"46","Acacia auriculiformis","Magnoliophyta","Fabales","Acacia auriculiformis","Fabaceae","Acacia","auriculiformis","tree","12"
"47","Acacia bavazzanoi","Magnoliophyta","Fabales","Acacia bavazzanoi","Fabaceae","Acacia","bavazzanoi","tree","2"
"48","Acacia borleae","Magnoliophyta","Fabales","Acacia borleae","Fabaceae","Acacia","borleae","shrub","4"
"49","Acacia brevispica","Magnoliophyta","Fabales","Acacia brevispica subsp. dregeana","Fabaceae","Acacia","brevispica","shrub","153"
"50","Acacia brevispica","Magnoliophyta","Fabales","Acacia brevispica","Fabaceae","Acacia","brevispica","shrub","153"
"51","Acacia brevispica","Magnoliophyta","Fabales","Acacia brevispica subsp. brevispica","Fabaceae","Acacia","brevispica","shrub","153"
"52","Acacia burkei","Magnoliophyta","Fabales","Acacia burkei","Fabaceae","Acacia","burkei","tree","12"
"53","Acacia burttii","Magnoliophyta","Fabales","Acacia burttii","Fabaceae","Acacia","burttii","tree","11"
"54","Acacia bussei","Magnoliophyta","Fabales","Acacia bussei","Fabaceae","Acacia","bussei","tree","62"
"55","Acacia caffra","Magnoliophyta","Fabales","Acacia caffra","Fabaceae","Acacia","caffra","tree","9"
"56","Acacia cheilanthifolia","Magnoliophyta","Fabales","Acacia cheilanthifolia","Fabaceae","Acacia","cheilanthifolia","shrub","3"
"57","Acacia ciliolata","Magnoliophyta","Fabales","Acacia ciliolata","Fabaceae","Acacia","ciliolata","liana","4"
"58","Acacia circummarginata","Magnoliophyta","Fabales","Acacia circummarginata","Fabaceae","Acacia","circummarginata","tree","16"
"59","Acacia davyi","Magnoliophyta","Fabales","Acacia davyi","Fabaceae","Acacia","davyi","tree","4"
"60","Acacia densispina","Magnoliophyta","Fabales","Acacia densispina","Fabaceae","Acacia","densispina","tree","1"
"61","Acacia dolichocephala","Magnoliophyta","Fabales","Acacia dolichocephala","Fabaceae","Acacia","dolichocephala","tree","20"
"62","Acacia drepanolobium","Magnoliophyta","Fabales","Acacia drepanolobium","Fabaceae","Acacia","drepanolobium","tree","83"
"63","Acacia dudgeonii","Magnoliophyta","Fabales","Acacia dudgeonii","Fabaceae","Acacia","dudgeonii","tree","70"
"64","Acacia edgeworthii","Magnoliophyta","Fabales","Acacia edgeworthii","Fabaceae","Acacia","edgeworthii","shrub","10"
"65","Acacia ehrenbergiana","Magnoliophyta","Fabales","Acacia ehrenbergiana","Fabaceae","Acacia","ehrenbergiana","shrub","13"
"66","Acacia elatior","Magnoliophyta","Fabales","Acacia elatior","Fabaceae","Acacia","elatior","tree","36"
"67","Acacia elatior","Magnoliophyta","Fabales","Acacia elatior subsp. turkanae","Fabaceae","Acacia","elatior","tree","36"
"68","Acacia elatior","Magnoliophyta","Fabales","Acacia elatior subsp. elatior","Fabaceae","Acacia","elatior","tree","36"
"69","Acacia erioloba","Magnoliophyta","Fabales","Acacia erioloba","Fabaceae","Acacia","erioloba","tree","33"
"70","Acacia erubescens","Magnoliophyta","Fabales","Acacia erubescens","Fabaceae","Acacia","erubescens","tree","26"
"71","Acacia erythrocalyx","Magnoliophyta","Fabales","Acacia erythrocalyx","Fabaceae","Acacia","erythrocalyx","shrub","16"
"72","Acacia etbaica","Magnoliophyta","Fabales","Acacia etbaica subsp. australis","Fabaceae","Acacia","etbaica","tree","119"
"73","Acacia etbaica","Magnoliophyta","Fabales","Acacia etbaica","Fabaceae","Acacia","etbaica","tree","119"
"74","Acacia etbaica","Magnoliophyta","Fabales","Acacia etbaica subsp. uncinata","Fabaceae","Acacia","etbaica","tree","119"
"75","Acacia etbaica","Magnoliophyta","Fabales","Acacia etbaica subsp. etbaica","Fabaceae","Acacia","etbaica","tree","119"
"76","Acacia etbaica","Magnoliophyta","Fabales","Acacia etbaica subsp. platycarpa","Fabaceae","Acacia","etbaica","tree","119"
"77","Acacia exuvialis","Magnoliophyta","Fabales","Acacia exuvialis","Fabaceae","Acacia","exuvialis","shrub","2"
"78","Acacia fischeri","Magnoliophyta","Fabales","Acacia fischeri","Fabaceae","Acacia","fischeri","tree","11"
"79","Acacia fleckii","Magnoliophyta","Fabales","Acacia fleckii","Fabaceae","Acacia","fleckii","tree","22"
"80","Acacia fumosa","Magnoliophyta","Fabales","Acacia fumosa","Fabaceae","Acacia","fumosa","tree","4"
"81","Acacia galpinii","Magnoliophyta","Fabales","Acacia galpinii","Fabaceae","Acacia","galpinii","tree","3"
"82","Acacia gerrardii","Magnoliophyta","Fabales","Acacia gerrardii subsp. gerrardii","Fabaceae","Acacia","gerrardii","tree","180"
"83","Acacia gerrardii","Magnoliophyta","Fabales","Acacia gerrardii","Fabaceae","Acacia","gerrardii","tree","180"
"84","Acacia goetzei","Magnoliophyta","Fabales","Acacia goetzei subsp. goetzei","Fabaceae","Acacia","goetzei","tree","116"
"85","Acacia goetzei","Magnoliophyta","Fabales","Acacia goetzei subsp. microphylla","Fabaceae","Acacia","goetzei","tree","116"
"86","Acacia goetzei","Magnoliophyta","Fabales","Acacia goetzei","Fabaceae","Acacia","goetzei","tree","116"
"87","Acacia gourmaensis","Magnoliophyta","Fabales","Acacia gourmaensis","Fabaceae","Acacia","gourmaensis","tree","26"
"88","Acacia grandicornuta","Magnoliophyta","Fabales","Acacia grandicornuta","Fabaceae","Acacia","grandicornuta","tree","3"
"89","Acacia haematoxylon","Magnoliophyta","Fabales","Acacia haematoxylon","Fabaceae","Acacia","haematoxylon","shrub","6"
"90","Acacia hamulosa","Magnoliophyta","Fabales","Acacia hamulosa","Fabaceae","Acacia","hamulosa","shrub","24"
"91","Acacia hebeclada","Magnoliophyta","Fabales","Acacia hebeclada","Fabaceae","Acacia","hebeclada","tree","48"
"92","Acacia hebeclada","Magnoliophyta","Fabales","Acacia hebeclada subsp. hebeclada","Fabaceae","Acacia","hebeclada","tree","48"
"93","Acacia hebeclada","Magnoliophyta","Fabales","Acacia hebeclada subsp. tristis","Fabaceae","Acacia","hebeclada","tree","48"
"94","Acacia hebeclada","Magnoliophyta","Fabales","Acacia hebeclada subsp. chobiensis","Fabaceae","Acacia","hebeclada","tree","48"
"95","Acacia hecatophylla","Magnoliophyta","Fabales","Acacia hecatophylla","Fabaceae","Acacia","hecatophylla","tree","11"
"96","Acacia hereroensis","Magnoliophyta","Fabales","Acacia hereroensis","Fabaceae","Acacia","hereroensis","tree","1"
"97","Acacia hockii","Magnoliophyta","Fabales","Acacia hockii","Fabaceae","Acacia","hockii","tree","286"
"98","Acacia horrida","Magnoliophyta","Fabales","Acacia horrida","Fabaceae","Acacia","horrida","tree","36"
"99","Acacia horrida","Magnoliophyta","Fabales","Acacia horrida subsp. benadirensis","Fabaceae","Acacia","horrida","tree","36"
"100","Acacia kamerunensis","Magnoliophyta","Fabales","Acacia kamerunensis","Fabaceae","Acacia","kamerunensis","liana","68"
"101","Acacia karroo","Magnoliophyta","Fabales","Acacia karroo","Fabaceae","Acacia","karroo","tree","39"
"102","Acacia kirkii","Magnoliophyta","Fabales","Acacia kirkii","Fabaceae","Acacia","kirkii","tree","80"
"103","Acacia kirkii","Magnoliophyta","Fabales","Acacia kirkii subsp. kirkii","Fabaceae","Acacia","kirkii","tree","80"
"104","Acacia kirkii","Magnoliophyta","Fabales","Acacia kirkii subsp. mildbraedii","Fabaceae","Acacia","kirkii","tree","80"
"105","Acacia kraussiana","Magnoliophyta","Fabales","Acacia kraussiana","Fabaceae","Acacia","kraussiana","shrub","9"
"106","Acacia laeta","Magnoliophyta","Fabales","Acacia laeta","Fabaceae","Acacia","laeta","tree","43"
"107","Acacia lahai","Magnoliophyta","Fabales","Acacia lahai","Fabaceae","Acacia","lahai","tree","63"
"108","Acacia latistipulata","Magnoliophyta","Fabales","Acacia latistipulata","Fabaceae","Acacia","latistipulata","shrub","15"
"109","Acacia leucospira","Magnoliophyta","Fabales","Acacia leucospira","Fabaceae","Acacia","leucospira","shrub","9"
"110","Acacia luederitzii","Magnoliophyta","Fabales","Acacia luederitzii","Fabaceae","Acacia","luederitzii","shrub","16"
"111","Acacia luederitzii","Magnoliophyta","Fabales","Acacia luederitzii var. retinens","Fabaceae","Acacia","luederitzii","shrub","16"
"112","Acacia luederitzii","Magnoliophyta","Fabales","Acacia luederitzii var. luederitzii","Fabaceae","Acacia","luederitzii","shrub","16"
"113","Acacia lujae","Magnoliophyta","Fabales","Acacia lujae","Fabaceae","Acacia","lujae","liana","34"
"114","Acacia macrostachya","Magnoliophyta","Fabales","Acacia macrostachya","Fabaceae","Acacia","macrostachya","shrub","41"
"115","Acacia manubensis","Magnoliophyta","Fabales","Acacia manubensis","Fabaceae","Acacia","manubensis","tree","1"
"116","Acacia mbuluensis","Magnoliophyta","Fabales","Acacia mbuluensis","Fabaceae","Acacia","mbuluensis","tree","4"
"117","Acacia mearnsii","Magnoliophyta","Fabales","Acacia mearnsii","Fabaceae","Acacia","mearnsii","tree","29"
"118","Acacia mellifera","Magnoliophyta","Fabales","Acacia mellifera","Fabaceae","Acacia","mellifera","shrub","196"
"119","Acacia mellifera","Magnoliophyta","Fabales","Acacia mellifera subsp. detinens","Fabaceae","Acacia","mellifera","shrub","196"
"120","Acacia mellifera","Magnoliophyta","Fabales","Acacia mellifera subsp. mellifera","Fabaceae","Acacia","mellifera","shrub","196"
"121","Acacia montigena","Magnoliophyta","Fabales","Acacia montigena","Fabaceae","Acacia","montigena","liana","48"
"122","Acacia nebrownii","Magnoliophyta","Fabales","Acacia nebrownii","Fabaceae","Acacia","nebrownii","shrub","16"
"123","Acacia negrii","Magnoliophyta","Fabales","Acacia negrii","Fabaceae","Acacia","negrii","tree","23"
"124","Acacia nigrescens","Magnoliophyta","Fabales","Acacia nigrescens","Fabaceae","Acacia","nigrescens","tree","71"
"125","Acacia nilotica","Magnoliophyta","Fabales","Acacia nilotica subsp. leiocarpa","Fabaceae","Acacia","nilotica","tree","374"
"126","Acacia nilotica","Magnoliophyta","Fabales","Acacia nilotica subsp. adstringens","Fabaceae","Acacia","nilotica","tree","374"
"127","Acacia nilotica","Magnoliophyta","Fabales","Acacia nilotica subsp. indica","Fabaceae","Acacia","nilotica","tree","374"
"128","Acacia nilotica","Magnoliophyta","Fabales","Acacia nilotica subsp. tomentosa","Fabaceae","Acacia","nilotica","tree","374"
"129","Acacia nilotica","Magnoliophyta","Fabales","Acacia nilotica","Fabaceae","Acacia","nilotica","tree","374"
"130","Acacia nilotica","Magnoliophyta","Fabales","Acacia nilotica subsp. subalata","Fabaceae","Acacia","nilotica","tree","374"
"131","Acacia nilotica","Magnoliophyta","Fabales","Acacia nilotica subsp. kraussiana","Fabaceae","Acacia","nilotica","tree","374"
"132","Acacia nilotica","Magnoliophyta","Fabales","Acacia nilotica subsp. nilotica","Fabaceae","Acacia","nilotica","tree","374"
"133","Acacia oerfota","Magnoliophyta","Fabales","Acacia oerfota","Fabaceae","Acacia","oerfota","shrub","53"
"134","Acacia oerfota","Magnoliophyta","Fabales","Acacia oerfota var. oerfota","Fabaceae","Acacia","oerfota","shrub","53"
"135","Acacia ogadensis","Magnoliophyta","Fabales","Acacia ogadensis","Fabaceae","Acacia","ogadensis","tree","3"
"136","Acacia origena","Magnoliophyta","Fabales","Acacia origena","Fabaceae","Acacia","origena","tree","2"
"137","Acacia paolii","Magnoliophyta","Fabales","Acacia paolii","Fabaceae","Acacia","paolii","shrub","42"
"138","Acacia paolii","Magnoliophyta","Fabales","Acacia paolii subsp. paucijuga","Fabaceae","Acacia","paolii","shrub","42"
"139","Acacia paolii","Magnoliophyta","Fabales","Acacia paolii subsp. paolii","Fabaceae","Acacia","paolii","shrub","42"
