"idrb","decimalLatitude","decimalLongitude","tax_sp_level","family","genus","specificEpithet","species","country","countryCode","verif_iso3","verif_coast","verif_distance","locality"
447731,7.42194,-3.82861,"Senna siamea","Fabaceae","Senna","siamea","Senna siamea","Ivory Coast","CIV","OK","OK",NA,"Koffi-Akakro (s.p. Prikro). House yard."
447765,6.26667,10.4,"Ascolepis brasiliensis","Cyperaceae","Ascolepis","brasiliensis","Ascolepis brasiliensis","Cameroon","CMR","OK","OK",NA,"Boyo, Laikom, Sappel, below Ardo's uncle's compound."
447766,6.27083,10.4097,"Ascolepis brasiliensis","Cyperaceae","Ascolepis","brasiliensis","Ascolepis brasiliensis","Cameroon","CMR","OK","OK",NA,"Boyo-Division, Ngengal swamp, 10km E of Laikom, en route to Embezza."
447782,-2.35,34.8333,"Bothriochloa insculpta","Poaceae","Bothriochloa","insculpta","Bothriochloa insculpta","Tanzania","TZA","OK","OK",NA,"Serengeti National Park. 3 km S of Banagi on road to Seronera."
447818,0.416667,9.45,"Solanum americanum","Solanaceae","Solanum","americanum","Solanum americanum","Gabon","GAB","OK","OK",NA,"Libreville, campus Omar Bongo University."
447868,11.9117,41.5967,"Aristida adscensionis","Poaceae","Aristida","adscensionis","Aristida adscensionis","Ethiopia","ETH","OK","OK",NA,"between Dichioto and Djibouti, c. 4 km E of Dichioto."
447922,7.42194,-3.82861,"Canna indica","Cannaceae","Canna","indica","Canna indica","Ivory Coast","CIV","OK","OK",NA,"Koffi-Akakro (s.p. Prikro)."
447924,7.42194,-3.82861,"Merremia tuberosa","Convolvulaceae","Merremia","tuberosa","Merremia tuberosa","Ivory Coast","CIV","OK","OK",NA,"Koffi-Akakro (s.p. Prikro). In borderline of forest and village."
447933,7.42194,-3.82861,"Caesalpinia pulcherrima","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","Ivory Coast","CIV","OK","OK",NA,"Koffi-Akakro (s.p. Prikro)."
447939,11.625,41.4117,"Eclipta prostrata","Asteraceae","Eclipta","prostrata","Eclipta prostrata","Ethiopia","ETH","OK","OK",NA,"between Asaita and Logia, c. 7 km NW of Asaita."
447947,11.7283,41.0983,"Eclipta prostrata","Asteraceae","Eclipta","prostrata","Eclipta prostrata","Ethiopia","ETH","OK","OK",NA,"just S of Tendaho, Tendaho farming area."
447964,6.75802,2.17008,"Cucumis melo","Cucurbitaceae","Cucumis","melo","Cucumis melo","Benin","BEN","OK","OK",NA,"road RNIE2 between Allada and Hougbo."
447976,-11.7667,27.25,"Tithonia diversifolia","Asteraceae","Tithonia","diversifolia","Tithonia diversifolia","Congo - Kinshasa","COD","OK","OK",NA,"Kipushi."
448003,7.42194,-3.82861,"Lantana camara","Verbenaceae","Lantana","camara","Lantana camara","Ivory Coast","CIV","OK","OK",NA,"Koffi-Akakro (s.p. Prikro)."
448074,-9.28333,33.6167,"Sesbania sesban","Fabaceae","Sesbania","sesban","Sesbania sesban","Tanzania","TZA","OK","OK",NA,"Nyassa Hochland - Station Kyimbila."
448172,-2.33837,11.6713,"Burmannia madagascariensis","Burmanniaceae","Burmannia","madagascariensis","Burmannia madagascariensis","Gabon","GAB","OK","OK",NA,"entre village Mbinambi et Nzenzelé."
448192,11.1733,35.8883,"Boerhavia erecta","Nyctaginaceae","Boerhavia","erecta","Boerhavia erecta","Ethiopia","ETH","OK","OK",NA,"between Chagni and Mankush, c. 100 km from Chagni."
448291,11.2483,34.9583,"Abelmoschus ficulneus","Malvaceae","Abelmoschus","ficulneus","Abelmoschus ficulneus","Ethiopia","ETH","NEIGHBOUR","OK",1476,"Sudan border at Bambudi, just E of the border."
448301,5.4,-4.13333,"Spermacoce latifolia","Rubiaceae","Spermacoce","latifolia","Spermacoce latifolia","Ivory Coast","CIV","OK","OK",NA,"Anguededou Forest, c. 2.5 km after the beginning of the new road."
448351,-1.86667,9.96667,"Casearia barteri","Salicaceae","Casearia","barteri","Casearia barteri","Gabon","GAB","OK","OK",NA,"Rabi-NE, near checkpoint Est."
448354,11.42,35.3133,"Blumea axillaris","Asteraceae","Blumea","axillaris","Blumea axillaris","Ethiopia","ETH","OK","OK",NA,"between Mankush and Almahal, c. 25 km from Mankush."
448399,3.08333,10.4167,"Piper sidaefolium","Piperaceae","Piper","sidaefolium","Piper sidaefolium","Cameroon","CMR","OK","OK",NA,"Bipindi."
448423,10.6233,34.7533,"Aeschynomene americana","Fabaceae","Aeschynomene","americana","Aeschynomene americana","Ethiopia","ETH","OK","OK",NA,"between Gizen and Mengi, c. 18 km S of Gizen."
448463,10.565,34.3167,"Phyllanthus arachnodes","Phyllanthaceae","Phyllanthus","arachnodes","Phyllanthus arachnodes","Ethiopia","ETH","OK","OK",NA,"between Homecha and Kurmuk, c. 3 km E of Kurmuk."
448470,3.08333,10.4167,"Averrhoa bilimbi","Oxalidaceae","Averrhoa","bilimbi","Averrhoa bilimbi","Cameroon","CMR","OK","OK",NA,"oult. Bipindi."
448544,9.56833,34.6467,"Scleria distans","Cyperaceae","Scleria","distans","Scleria distans","Ethiopia","ETH","OK","OK",NA,"between Bambasi and Tongo, c. 18 km S of Bambasi."
448573,3.88333,12.5167,"Persicaria madagascariensis","Polygonaceae","Persicaria","madagascariensis","Persicaria madagascariensis","Cameroon","CMR","OK","OK",NA,"Région Ayos, rivière N'Kiong."
448574,-1,29.35,"Persicaria madagascariensis","Polygonaceae","Persicaria","madagascariensis","Persicaria madagascariensis","Congo - Kinshasa","COD","OK","OK",NA,"Kifunga, région Mabenga, Parc National Albert."
448576,-1,29.3667,"Persicaria madagascariensis","Polygonaceae","Persicaria","madagascariensis","Persicaria madagascariensis","Congo - Kinshasa","COD","OK","OK",NA,"May ya Kwinda, Parc National Albert."
448594,10.8667,-1.98333,"Persicaria madagascariensis","Polygonaceae","Persicaria","madagascariensis","Persicaria madagascariensis","Ghana","GHA","OK","OK",NA,"just E of Tumu. N.T.s."
448630,6.875,35.3767,"Cordia alliodora","Boraginaceae","Cordia","alliodora","Cordia alliodora","Ethiopia","ETH","OK","OK",NA,"Bebeka Coffee Plantation, between headquarter and SW gate."
448664,6.71667,-5.16667,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Ivory Coast","CIV","OK","OK",NA,"between Toumodi and Yanoussokro, before Yanoussokro."
448717,8.53967,-8.91033,"Asplenium thunbergii","Aspleniaceae","Asplenium","thunbergii","Asplenium thunbergii","Guinea","GIN","OK","OK",NA,"Pic de Fon mountains."
448744,6.71667,-6.9,"Trema tomentosa","Cannabaceae","Trema","tomentosa","Trema tomentosa","Ivory Coast","CIV","OK","OK",NA,"between Issia and Duékoué."
448771,9.78333,39.1833,"Lathyrus sativus","Fabaceae","Lathyrus","sativus","Lathyrus sativus","Ethiopia","ETH","OK","OK",NA,"c. 30 km from Debra Berhan on the road branching off from the main road Addis Ababa—Debra Berhan and c. 10 km north of Denneba."
448778,9.78333,39.1833,"Lens culinaris","Fabaceae","Lens","culinaris","Lens culinaris","Ethiopia","ETH","OK","OK",NA,"c. 30 km from Debra Berhan on the road branching off from the main road Addis Ababa—Debra Berhan and c. 10 km north of Denneba."
448874,-2.31667,34.9667,"Morus alba","Moraceae","Morus","alba","Morus alba","Tanzania","TZA","OK","OK",NA,"Serengeti National Park, Mgungu river near Nyabogati mine."
448879,-2.58333,34.8833,"Amaranthus hybridus","Amaranthaceae","Amaranthus","hybridus","Amaranthus hybridus subsp. hybridus","Tanzania","TZA","OK","OK",NA,"Serengeti National Park, road between Seronera and Simba Kopjes."
449077,9.91667,40.5167,"Jatropha glauca","Euphorbiaceae","Jatropha","glauca","Jatropha glauca","Ethiopia","ETH","OK","OK",NA,"c. 30 km south of the town of Gewane on the main road towards Awash Town."
449146,10.5667,40.75,"Abelmoschus esculentus","Malvaceae","Abelmoschus","esculentus","Abelmoschus esculentus","Ethiopia","ETH","OK","OK",NA,"Southern edge of Yangudi-Rassa National Park; c. 50 km north of Gewane on the main road to Mille."
449392,14.1833,39.5667,"Spergula arvensis","Caryophyllaceae","Spergula","arvensis","Spergula arvensis","Ethiopia","ETH","OK","OK",NA,"just south of the town of Endagahamus on the Mekele-Adigrat road, c. 20 km south of Adigrat."
449411,5,-7.3,"Diospyros chevalieri","Ebenaceae","Diospyros","chevalieri","Diospyros chevalieri","Ivory Coast","CIV","OK","OK",NA,"FC de la Ht Dodo, close to Kouadjokro."
449413,3.51667,11.85,"Spermacoce latifolia","Rubiaceae","Spermacoce","latifolia","Spermacoce latifolia","Cameroon","CMR","OK","OK",NA,"ZOMO, 120 [!] km E du MBALANAYO (feuille IGN 1/200.000. Yaoundé)."
449481,13.65,39.7667,"Calendula officinalis","Asteraceae","Calendula","officinalis","Calendula officinalis","Ethiopia","ETH","OK","OK",NA,"c. 26 km from Angula along the new road to Berhale and the Afar Depression."
449550,13.6833,39.8833,"Jatropha glauca","Euphorbiaceae","Jatropha","glauca","Jatropha glauca","Ethiopia","ETH","OK","OK",NA,"at the foot of the escarpment where the new road from Angula to Berhale and the Afar Depression enters the plains."
449576,12.15,39.0667,"Linum trigynum","Linaceae","Linum","trigynum","Linum trigynum","Ethiopia","ETH","OK","OK",NA,"near the historical church of Yemrehanna Kristos."
449580,13.6667,39.8333,"Olea europaea","Oleaceae","Olea","europaea","Olea europaea subsp. cuspidata","Ethiopia","ETH","OK","OK",NA,"c. 6 km above the foot of the escarpment where the new road from Angula to Berhale and the Afar Depression enters the plains."
449595,13.6667,39.8,"Pennisetum villosum","Poaceae","Pennisetum","villosum","Pennisetum villosum","Ethiopia","ETH","OK","OK",NA,"just above the top of the escarpment where the new road from Angula to Berhale and the Afar Depression begins descending to the plains."
449603,9.55,-7.28333,"Trema tomentosa","Cannabaceae","Trema","tomentosa","Trema tomentosa","Ivory Coast","CIV","OK","OK",NA,"Massif du Tougoukoli, Tiémé, near Odienné."
449656,8.65722,-8.885,"Ipomoea indica","Convolvulaceae","Ipomoea","indica","Ipomoea indica","Guinea","GIN","OK","OK",NA,"N. of Oueleba camp"
449708,8.36,-9.32556,"Cinchona officinalis","Rubiaceae","Cinchona","officinalis","Cinchona officinalis","Guinea","GIN","OK","OK",NA,"Tourist path to antenne."
450050,-2.12139,14.0586,"Acacia kamerunensis","Fabaceae","Acacia","kamerunensis","Acacia kamerunensis","Gabon","GAB","OK","OK",NA,"Plateaux Batéké National Park. Projet Protection des Gorilles. Forest grassland on Kalahari Sands. Edge of forest."
450101,8.55972,-8.88167,"Scleria distans","Cyperaceae","Scleria","distans","Scleria distans","Guinea","GIN","OK","OK",NA,"Moribadou - Canga East (Rio Tinto Camp)."
450151,6.75802,2.17008,"Solanum rudepannum","Solanaceae","Solanum","rudepannum","Solanum rudepannum","Benin","BEN","OK","OK",NA,"road RNIE2 between Allada and Hougbo."
450173,5.26667,39.7,"Bothriochloa insculpta","Poaceae","Bothriochloa","insculpta","Bothriochloa insculpta","Ethiopia","ETH","OK","OK",NA,"c. 15 km east of Negelle on road towards Filtu, just after the turn-off of the road towards Melca Guba, Hudat, Wachile and Arero."
450357,5.18333,40.1667,"Moringa oleifera","Moringaceae","Moringa","oleifera","Moringa oleifera","Ethiopia","ETH","OK","OK",NA,"c. 74 km east of Negelle towards Filtu."
450429,6.36524,2.09624,"Murraya paniculata","Rutaceae","Murraya","paniculata","Murraya paniculata","Benin","BEN","OK","OK",NA,"Forêt Sacrée de Kpassé."
450445,3.63333,39.0667,"Ruellia linearibracteolata","Acanthaceae","Ruellia","linearibracteolata","Ruellia linearibracteolata","Ethiopia","ETH","OK","OK",NA,"on the track from Moyale towards Chelago via El Leh, c. 15 km northeast of Moyale."
450553,6.38333,37.0333,"Tridax procumbens","Asteraceae","Tridax","procumbens","Tridax procumbens","Ethiopia","ETH","OK","OK",NA,"c. 20 km east of Sawla along the road to Soddu."
450565,6.91667,37.5833,"Duranta erecta","Verbenaceae","Duranta","erecta","Duranta erecta","Ethiopia","ETH","OK","OK",NA,"c. 32 km from Soddu along the road to Waka."
450720,11.9217,37.9483,"Trifolium campestre","Fabaceae","Trifolium","campestre","Trifolium campestre","Ethiopia","ETH","OK","OK",NA,"10 km W of Debre Tabor along the road to the main Bar Dar-Addis Zemen road."
450747,12.9252,36.2467,"Zinnia elegans","Asteraceae","Zinnia","elegans","Zinnia elegans","Ethiopia","ETH","OK","OK",NA,"5 km N of main road at a turn off 0 km E of Metemma along the road to Azozo and Gonder."
450781,9.43333,42.35,"Arabis glabra","Brassicaceae","Arabis","glabra","Arabis glabra","Ethiopia","ETH","OK","OK",NA,"NE slope of Kondudu Mtn, c. 200 m below the top."
450804,12.5,37.0083,"Bartsia trixago","Orobanchaceae","Bartsia","trixago","Bartsia trixago","Ethiopia","ETH","OK","OK",NA,"90 km W of the turn off towards Metemma on the Azozo/Gonder road."
450821,-4.3,39.35,"Ixora narcissodora","Rubiaceae","Ixora","narcissodora","Ixora narcissodora","Kenya","KEN","OK","OK",NA,"Shimba Hills, 12 ml SW of Kwale, Mwele Mdogo F"
450836,12.93,37.34,"Abelmoschus esculentus","Malvaceae","Abelmoschus","esculentus","Abelmoschus esculentus","Ethiopia","ETH","OK","OK",NA,"50 km NW of Gonder along road to Humera."
451144,7.41667,2.32,"Capsicum annuum","Solanaceae","Capsicum","annuum","Capsicum annuum","Benin","BEN","OK","OK",NA,"Za-Kpota."
451170,7.41667,2.32,"Senna siamea","Fabaceae","Senna","siamea","Senna siamea","Benin","BEN","OK","OK",NA,"Za-Kpota."
451320,14.345,38.81,"Cucumis melo","Cucurbitaceae","Cucumis","melo","Cucumis melo","Ethiopia","ETH","OK","OK",NA,"in the Mereb Valley 4 km S of Rama on the road that connected Adwa (Adi Abun) with Asmara."
451349,14.1,38.3267,"Cyperus elegantulus","Cyperaceae","Cyperus","elegantulus","Cyperus elegantulus","Ethiopia","ETH","OK","OK",NA,"7 km E of Enda Selassie (Shire) on the road to Axum."
451350,14.1,38.3267,"Alisma plantago-aquatica","Alismataceae","Alisma","plantago-aquatica","Alisma plantago-aquatica","Ethiopia","ETH","OK","OK",NA,"7 km E of Enda Selassie (Shire) on the road to Axum."
451354,14.1,38.3267,"Daucus carota","Apiaceae","Daucus","carota","Daucus carota","Ethiopia","ETH","OK","OK",NA,"7 km E of Enda Selassie (Shire) on the road to Axum."
451365,13.76,38.2183,"Blumea axillaris","Asteraceae","Blumea","axillaris","Blumea axillaris","Ethiopia","ETH","OK","OK",NA,"4 km N of the upper edge of the Tacazze Valley on the road from Enda Selassie (Shire) to Adi Arkay."
451373,13.4317,38.0367,"Lindenbergia muraria","Orobanchaceae","Lindenbergia","muraria","Lindenbergia muraria","Ethiopia","ETH","OK","OK",NA,"6 km south of Adi Arkay, along the road to Gonder."
451526,0.36,6.65783,"Artocarpus altilis","Moraceae","Artocarpus","altilis","Artocarpus altilis","Sao Tome and Principe","STP","OK","OK",NA,"Sao Tome. Along road in dependencia Agua Casada, cocoa-plantation Boa entrada, 10 km W of Sao Tome-town."
451527,0.36,6.65783,"Artocarpus altilis","Moraceae","Artocarpus","altilis","Artocarpus altilis","Sao Tome and Principe","STP","OK","OK",NA,"Sao Tome. Along road in dependencia Agua Casada, cocoa-plantation Boa entrada, 10 km W of Sao Tome-town."
451559,-2.16667,29.0833,"Campylospermum bukobense","Ochnaceae","Campylospermum","bukobense","Campylospermum bukobense","Congo - Kinshasa","COD","OK","OK",NA,"Ile Idjwi, dans le Lac Kivu."
451625,0.05,18.3167,"Campylospermum bukobense","Ochnaceae","Campylospermum","bukobense","Campylospermum bukobense","Congo - Kinshasa","COD","OK","OK",NA,"Eala."
451746,7.64017,-8.34817,"Cryptochilus sanguinea","Orchidaceae","Cryptochilus","sanguinea","Cryptochilus sanguinea","Guinea","GIN","OK","OK",NA,"near Ecogard building in Bié savannah."
451813,7.679,-8.44383,"Spermacoce latifolia","Rubiaceae","Spermacoce","latifolia","Spermacoce latifolia","Guinea","GIN","OK","OK",NA,"West of the Nimba mountains."
451836,-2.25,11.4667,"Averrhoa carambola","Oxalidaceae","Averrhoa","carambola","Averrhoa carambola","Gabon","GAB","OK","OK",NA,"Lebamba, Bongolo, protestant mission."
451955,0.548972,9.35589,"Talinum fruticosum","Talinaceae","Talinum","fruticosum","Talinum fruticosum","Gabon","GAB","OK","OK",NA,"Département de Komo-Mondah, Santa Clara, Arboretum Raponda Walker."
451982,-25.16,30.7433,"Persicaria madagascariensis","Polygonaceae","Persicaria","madagascariensis","Persicaria madagascariensis","South Africa","ZAF","OK","OK",NA,"Lydenburg, Sterkspruit at Klein Kowyn St. 2530AB."
452057,-0.119489,11.6003,"Psidium guajava","Myrtaceae","Psidium","guajava","Psidium guajava","Gabon","GAB","OK","OK",NA,"Département de Booué, Parc National de la Lopé, Gallery of the Mingumé."
452085,-3.08333,40.0167,"Vepris trichocarpa","Rutaceae","Vepris","trichocarpa","Vepris trichocarpa","Kenya","KEN","OK","OK",NA,"Pumwani Forest."
452135,-1.28333,36.7833,"Amaranthus hybridus","Amaranthaceae","Amaranthus","hybridus","Amaranthus hybridus","Kenya","KEN","OK","OK",NA,"Central Provide, Nairobi Distr., Nairobi, ca 5 km West of the town."
452188,3.08333,10.4167,"Triplophyllum funestum","Polypodiaceae","Triplophyllum","funestum","Triplophyllum funestum","Cameroon","CMR","OK","OK",NA,"Bipinde, Urwaldgebiet."
452251,-2.08917,14.0683,"Casearia barteri","Salicaceae","Casearia","barteri","Casearia barteri","Gabon","GAB","OK","OK",NA,"Batéké Plateau National Park. Ca. 3 km north of PPG Camp on west side of Mpassa River."
452402,-2.11667,28.9167,"Alectra aspera","Orobanchaceae","Alectra","aspera","Alectra aspera","Congo - Kinshasa","COD","OK","OK",NA,"À Hyparrhenia."
452561,-9.28333,33.6167,"Canavalia africana","Fabaceae","Canavalia","africana","Canavalia africana","Tanzania","TZA","OK","OK",NA,"Nyassa Hochland - Station Kyimbila. Africae oriental."
452572,0.05,18.2833,"Clitoria laurifolia","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Congo - Kinshasa","COD","OK","OK",NA,"Prov.: Equateur. Gaouilhatville. Statio: au bord de l'eau, près d'un petit marais.*."
452871,-0.020833,35.3917,"Linum trigynum","Linaceae","Linum","trigynum","Linum trigynum","Kenya","KEN","OK","OK",NA,"Nyaza Province, Londiani Distr., Tinderet Forest Reserve, camp 5."
452894,-7.51667,24.1833,"Campylospermum bukobense","Ochnaceae","Campylospermum","bukobense","Campylospermum bukobense","Congo - Kinshasa","COD","OK","OK",NA,"Kaniama - Haut Lomani."
452895,-7.51667,24.1833,"Campylospermum bukobense","Ochnaceae","Campylospermum","bukobense","Campylospermum bukobense","Congo - Kinshasa","COD","OK","OK",NA,"Kaniama - Haut Lomani."
452897,-4.25,39.45,"Ixora narcissodora","Rubiaceae","Ixora","narcissodora","Ixora narcissodora","Kenya","KEN","OK","OK",NA,"Kwale Distr, Shimba Hills N PK Giriama Point"
452938,9.33333,41.2667,"Solanum alatum","Solanaceae","Solanum","alatum","Solanum alatum","Ethiopia","ETH","OK","OK",NA,"on the road from Alemaya village to Asbe-Tafari, 36km from Kobbo."
452942,9.33333,41.2667,"Physalis peruviana","Solanaceae","Physalis","peruviana","Physalis peruviana","Ethiopia","ETH","OK","OK",NA,"on the road from Alemaya village to Asbe-Tafari, 36km from Kobbo."
452951,9.11667,40.85,"Plectranthus barbatus","Lamiaceae","Plectranthus","barbatus","Plectranthus barbatus","Ethiopia","ETH","OK","OK",NA,"on the road from Asbe-Tafari to Miesso, 6km from Asbe-Tafari."
452970,7.63333,36.7833,"Duranta erecta","Verbenaceae","Duranta","erecta","Duranta erecta","Ethiopia","ETH","OK","OK",NA,"6 km W of Jimma."
452979,9.26667,42.1,"Coriandrum sativum","Apiaceae","Coriandrum","sativum","Coriandrum sativum","Ethiopia","ETH","OK","OK",NA,"road to Feddis, c. 5km out of road to Harar."
452996,7.65,36.8,"Ricinus communis","Euphorbiaceae","Ricinus","communis","Ricinus communis","Ethiopia","ETH","OK","OK",NA,"4 km W of Jimma, along the road to Bonga."
453006,7.66667,36.8333,"Sesbania sesban","Fabaceae","Sesbania","sesban","Sesbania sesban subsp. sesban","Ethiopia","ETH","OK","OK",NA,"near Jimma Airport, along the road to Agricultural Research Institute."
453051,9.28167,41.1967,"Medicago lupulina","Fabaceae","Medicago","lupulina","Medicago lupulina","Ethiopia","ETH","OK","OK",NA,"on the road from Asbe-Tafari to Kobbo, 73km from Asbe-Tafari."
453134,9.66667,41.9333,"Leucas inflata","Lamiaceae","Leucas","inflata","Leucas inflata","Ethiopia","ETH","OK","OK",NA,"on the road from Dire Dawa to Djibouti, 13km from Dire Dawa."
453168,9.63333,41.9167,"Cucumis melo","Cucurbitaceae","Cucumis","melo","Cucumis melo","Ethiopia","ETH","OK","OK",NA,"on the road from Dire Dawa to Djibouti, 9km from Dire Dawa."
453172,9.61667,41.7833,"Abelmoschus esculentus","Malvaceae","Abelmoschus","esculentus","Abelmoschus esculentus","Ethiopia","ETH","OK","OK",NA,"on the road from Dire Dawa to Erergota, 10km from Dire Dawa."
453204,9.55,41.3833,"Moringa oleifera","Moringaceae","Moringa","oleifera","Moringa oleifera","Ethiopia","ETH","OK","OK",NA,"on the road from Dire Dawa to Erergota, 55km from Dire Dawa. Erer Hotel."
453212,9.7,41.35,"Jatropha glauca","Euphorbiaceae","Jatropha","glauca","Jatropha glauca var. glauca","Ethiopia","ETH","OK","OK",NA,"24km from Erergota on the track to Asbulli."
453229,9.7,41.35,"Chloris radiata","Poaceae","Chloris","radiata","Chloris radiata","Ethiopia","ETH","OK","OK",NA,"24km from Erergota on the track to Asbulli."
453231,9.23333,40.1833,"Macroptilium atropurpureum","Fabaceae","Macroptilium","atropurpureum","Macroptilium atropurpureum","Ethiopia","ETH","OK","OK",NA,"c. 30 km N of bridge crossing the Awash River, along the road to Gewane."
453252,9.23333,40.1833,"Aristida adscensionis","Poaceae","Aristida","adscensionis","Aristida adscensionis","Ethiopia","ETH","OK","OK",NA,"c. 30 km N of bridge crossing the Awash River, along the road to Gewane."
453349,8.81667,39.7,"Helenium integrifolium","Asteraceae","Helenium","integrifolium","Helenium integrifolium","Ethiopia","ETH","OK","OK",NA,"on the road from Awash to Nazareth, 68km from Awash."
453371,9.43167,42.065,"Medicago lupulina","Fabaceae","Medicago","lupulina","Medicago lupulina","Ethiopia","ETH","OK","OK",NA,"3 km from Bati, road to Kembolcha."
453392,9.45,41.9,"Nicotiana glauca","Solanaceae","Nicotiana","glauca","Nicotiana glauca","Ethiopia","ETH","OK","OK",NA,"16 km from Alemaya, on the road to Kulube."
453395,9.35,42.0667,"Olea europaea","Oleaceae","Olea","europaea","Olea europaea subsp. africana","Ethiopia","ETH","OK","OK",NA,"road from Alemaya to Harar."
453418,9.16667,42.2667,"Senna bicapsularis","Fabaceae","Senna","bicapsularis","Senna bicapsularis","Ethiopia","ETH","OK","OK",NA,"Errer valley, 26km from the road Harar-Jijiga, 11km on the sideroad."
453446,9.58333,41.8667,"Lantana camara","Verbenaceae","Lantana","camara","Lantana camara","Ethiopia","ETH","OK","OK",NA,"near cotton factory Dire Dawa."
453472,9.41667,42.05,"Phaseolus vulgaris","Fabaceae","Phaseolus","vulgaris","Phaseolus vulgaris","Ethiopia","ETH","OK","OK",NA,"near Alemaya College, at the beginning of the road to Kombolcia."
453483,7.1,38.6167,"Solandra longiflora","Solanaceae","Solandra","longiflora","Solandra longiflora","Ethiopia","ETH","OK","OK",NA,"road into Wondo-valley, 12km from Shashamane."
453489,7.1,38.6167,"Morus alba","Moraceae","Morus","alba","Morus alba","Ethiopia","ETH","OK","OK",NA,"road into Wondo-valley, 12km from Shashamane."
453490,7.1,38.6167,"Nicotiana tabacum","Solanaceae","Nicotiana","tabacum","Nicotiana tabacum","Ethiopia","ETH","OK","OK",NA,"road into Wondo-valley, 12km from Shashamane."
453525,9.1,40.8667,"Senna bicapsularis","Fabaceae","Senna","bicapsularis","Senna bicapsularis","Ethiopia","ETH","OK","OK",NA,"1 km from Asbe Teferi on the road to Mieso."
453536,5.35,39.55,"Zinnia peruviana","Asteraceae","Zinnia","peruviana","Zinnia peruviana","Ethiopia","ETH","OK","OK",NA,"road Neghelli to Wadera, 4km from Neghelli."
453547,10.3167,37.7167,"Tolpis virgata","Asteraceae","Tolpis","virgata","Tolpis virgata","Ethiopia","ETH","OK","OK",NA,"near Debre Markos, on the road to Elias."
453556,5.35,39.55,"Clitoria ternatea","Fabaceae","Clitoria","ternatea","Clitoria ternatea","Ethiopia","ETH","OK","OK",NA,"road Neghelli to Wadera, 4km from Neghelli."
453566,10.2833,37.7833,"Verbascum thapsus","Scrophulariaceae","Verbascum","thapsus","Verbascum thapsus","Ethiopia","ETH","OK","OK",NA,"7 km from Debre Markos, along the road to Addis Ababa."
453584,5.35,39.55,"Cosmos bipinnatus","Asteraceae","Cosmos","bipinnatus","Cosmos bipinnatus","Ethiopia","ETH","OK","OK",NA,"road Neghelli to Wadera, 4km from Neghelli."
453600,7.15,37.95,"Capsicum annuum","Solanaceae","Capsicum","annuum","Capsicum annuum","Ethiopia","ETH","OK","OK",NA,"road Soddo-Shashamane, 41km from Soddo (104km from Shashamane)."
453640,7.01667,37.9,"Solanum lycopersicum","Solanaceae","Solanum","lycopersicum","Solanum lycopersicum","Ethiopia","ETH","OK","OK",NA,"road Soddo-Shashamane, 25km from Soddo (120km from Shashamane)."
453649,6.95,37.85,"Scleranthus annuus","Caryophyllaceae","Scleranthus","annuus","Scleranthus annuus","Ethiopia","ETH","OK","OK",NA,"road Soddo-Shashamane, 15km from Soddo (130km from Shashamane)."
453653,4.35,29.2833,"Scleria distans","Cyperaceae","Scleria","distans","Scleria distans","Congo - Kinshasa","COD","OK","OK",NA,"Parc national de la Garamba, env de Bagbele."
453660,9.43333,42.0667,"Foeniculum vulgare","Apiaceae","Foeniculum","vulgare","Foeniculum vulgare","Ethiopia","ETH","OK","OK",NA,"along the road to Kombolcha, 2km from the entrance of the College."
453670,9.43333,42.0667,"Coriandrum sativum","Apiaceae","Coriandrum","sativum","Coriandrum sativum","Ethiopia","ETH","OK","OK",NA,"along the road to Kombolcha, 2km from the entrance of the College. (Big field (7))."
453681,9.4,42.0167,"Ipomoea tricolor","Convolvulaceae","Ipomoea","tricolor","Ipomoea tricolor","Ethiopia","ETH","OK","OK",NA,"Compound of the electricity building."
453683,9.4,42.0167,"Passiflora edulis","Passifloraceae","Passiflora","edulis","Passiflora edulis","Ethiopia","ETH","OK","OK",NA,"Compound of the electricity building."
453705,9.43333,42.0667,"Erodium moschatum","Geraniaceae","Erodium","moschatum","Erodium moschatum","Ethiopia","ETH","OK","OK",NA,"along the road Alemaya-Kombolcia (2km), along wadi."
453707,9.43333,42.0667,"Foeniculum vulgare","Apiaceae","Foeniculum","vulgare","Foeniculum vulgare","Ethiopia","ETH","OK","OK",NA,"along the road Alemaya-Kombolcia (2km), along wadi."
453718,9.33333,42.0833,"Citrus aurantium","Rutaceae","Citrus","aurantium","Citrus aurantium","Ethiopia","ETH","OK","OK",NA,"Fruitfarm Mrs. Diggs. 3.5km from the road from Alemaya to Harar, sideroad from Hamaressa."
453740,9.33333,42.0833,"Acca sellowiana","Myrtaceae","Acca","sellowiana","Acca sellowiana","Ethiopia","ETH","OK","OK",NA,"Fruitfarm Mrs. Diggs. 3.5km from the road from Alemaya to Harar, sideroad from Hamaressa."
453752,9.33333,42.0833,"Psidium guajava","Myrtaceae","Psidium","guajava","Psidium guajava","Ethiopia","ETH","OK","OK",NA,"Fruitfarm Mrs. Diggs. 3.5km from the road from Alemaya to Harar, sideroad from Hamaressa."
