"idrb","decimalLatitude","decimalLongitude","tax_sp_level","family","genus","specificEpithet","species","country","countryCode","verif_iso3","verif_coast","verif_distance","locality"
4649,2.65,16.1,"Acacia kamerunensis","Fabaceae","Acacia","kamerunensis","Acacia kamerunensis","Central African Republic","CAF","OK","OK",NA,""
4650,2.8,16.3333,"Acacia kamerunensis","Fabaceae","Acacia","kamerunensis","Acacia kamerunensis","Central African Republic","CAF","OK","OK",NA,""
4671,2.91667,16.2667,"Crotalaria spectabilis","Fabaceae","Crotalaria","spectabilis","Crotalaria spectabilis","Central African Republic","CAF","OK","OK",NA,""
4701,2.91667,16.2667,"Pueraria phaseoloides","Fabaceae","Pueraria","phaseoloides","Pueraria phaseoloides","Central African Republic","CAF","OK","OK",NA,""
4702,2.91667,16.2667,"Stylosanthes guianensis","Fabaceae","Stylosanthes","guianensis","Stylosanthes guianensis","Central African Republic","CAF","OK","OK",NA,""
4706,2.7,16.1333,"Pueraria phaseoloides","Fabaceae","Pueraria","phaseoloides","Pueraria phaseoloides","Central African Republic","CAF","OK","OK",NA,""
4978,2.20576,16.187,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Congo - Brazzaville","COG","NEIGHBOUR","OK",41,""
5092,2.36667,16.1833,"Casearia barteri","Salicaceae","Casearia","barteri","Casearia barteri","Central African Republic","CAF","OK","OK",NA,""
5120,2.35,16.1333,"Eclipta prostrata","Asteraceae","Eclipta","prostrata","Eclipta prostrata","Cameroon","CMR","OK","OK",NA,""
18049,5.6542,-0.186483,"Ruellia tuberosa","Acanthaceae","Ruellia","tuberosa","Ruellia tuberosa","Ghana","GHA","OK","OK",NA,""
18199,5.2172,-2.648,"Diospyros chevalieri","Ebenaceae","Diospyros","chevalieri","Diospyros chevalieri","Ghana","GHA","OK","OK",NA,""
23164,6.09434,6.22133,"Gliricidia sepium","Fabaceae","Gliricidia","sepium","Gliricidia sepium","Nigeria","NGA","OK","OK",NA,"Ilesha"
23717,5.6542,-0.186483,"Sapindus mukorossi","Sapindaceae","Sapindus","mukorossi","Sapindus mukorossi","Ghana","GHA","OK","OK",NA,""
25178,4.2227,18.3527,"Trema tomentosa","Cannabaceae","Trema","tomentosa","Trema tomentosa","Central African Republic","CAF","OK","OK",NA,"Gbazabangui"
33299,-1.33595,12.7247,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Gabon","GAB","OK","OK",NA,"Concession SFIK, à l'est de la route entre Koulamoutou et Pana."
34063,-0.82566,10.514,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Gabon","GAB","OK","OK",NA,"Zone de Mabounié,à environ 45 km au sud-est de Lambaréné, rive est de la Ngounié."
38422,0.2974,9.3086,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Gabon","GAB","OK","OK",NA,"PN de Pongara, sud de la pointe Ouingombé."
39180,-1.35172,12.7202,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Gabon","GAB","OK","OK",NA,"Concession SFIK, à l'est de la route entre Koulamoutou et Pana."
39208,-1.3511,12.7119,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Gabon","GAB","OK","OK",NA,"Concession SFIK, à l'est de la route entre Koulamoutou et Pana."
42936,-1.33595,12.7247,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Gabon","GAB","OK","OK",NA,"Concession SFIK, à l'est de la route entre Koulamoutou et Pana."
44391,-1.33595,12.7247,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Gabon","GAB","OK","OK",NA,"Concession SFIK, à l'est de la route entre Koulamoutou et Pana."
44505,-0.07672,12.349,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Gabon","GAB","OK","OK",NA,"Zone tampon du PN de l'Ivindo, dans la concession Rougier, zone de haute valeur biologique"
44641,0.3227,9.3181,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Gabon","GAB","OK","OK",NA,"PN de Pongara, sud de la pointe Ouingombé."
44679,0.3094,9.3248,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Gabon","GAB","OK","OK",NA,"PN de Pongara, sud de la pointe Ouingombé."
