"tax_sp_level","species","family","a_habit"
"Vigna umbellata","Vigna umbellata","Fabaceae","climber"
"Argyreia nervosa","Argyreia nervosa","Convolvulaceae","climber"
"Acalypha hispida","Acalypha hispida","Euphorbiaceae","shrub"
"Dillenia indica","Dillenia indica","Dilleniaceae","tree"
"Vitex agnus-castus","Vitex agnus-castus","Lamiaceae","shrub"
"Senna corymbosa","Senna corymbosa","Fabaceae","shrub"
"Digitaria bicornis","Digitaria bicornis","Poaceae","herb"
"Saritaea magnifica","Saritaea magnifica","Bignoniaceae","liana"
"Stylosanthes guianensis","Stylosanthes guianensis var. guianensis","Fabaceae","herb"
"Capraria biflora","Capraria biflora","Scrophulariaceae","shrub"
"Indigofera zeyheri","Indigofera zeyheri","Fabaceae","herb"
"Eucalyptus camaldulensis","Eucalyptus camaldulensis","Myrtaceae","tree"
"Senecio viminalis","Senecio viminalis","Asteraceae",""
"Neolitsea triplinervia","Neolitsea triplinervia","Lauraceae",""
"Euphorbia pseudograntii","Euphorbia pseudograntii","Euphorbiaceae","tree"
"Annona squamosa","Annona squamosa","Annonaceae","tree"
"Archidendron clypearia","Archidendron clypearia subsp. clypearia","Fabaceae","tree"
"Michelia champaca","Michelia champaca","Magnoliaceae","tree"
"Trichomanes rigidum","Trichomanes rigidum","Hymenophyllaceae","herb"
"Breynia disticha","Breynia disticha","Phyllanthaceae","shrub"
"Koeleria capensis","Koeleria capensis","Poaceae","herb"
"Vigna trichocarpa","Vigna trichocarpa","Fabaceae","climber"
"Dunbaria punctata","Dunbaria punctata","Fabaceae",""
"Anredera cordifolia","Anredera cordifolia","Basellaceae","herb"
"Aspilia elegans","Aspilia elegans","Asteraceae",""
"Alstonia macrophylla","Alstonia macrophylla","Apocynaceae","tree"
"Holarrhena mitis","Holarrhena mitis","Apocynaceae","shrub"
"Kibatalia laurifolia","Kibatalia laurifolia","Apocynaceae","shrub"
"Ochrosia coccinea","Ochrosia coccinea","Apocynaceae","shrub"
"Cleome spinosa","Cleome spinosa","Cleomaceae","herb"
"Schizolobium parahybum","Schizolobium parahybum","Fabaceae",""
"Datura stramonium","Datura stramonium","Solanaceae","herb"
"Heliotropium foertherianum","Heliotropium foertherianum","Boraginaceae","shrub"
"Podocarpus polystachyus","Podocarpus polystachyus","Podocarpaceae","tree"
"Nigella sativa","Nigella sativa","Ranunculaceae","herb"
"Syzygium antisepticum","Syzygium antisepticum","Myrtaceae","tree"
"Euphorbia cyparissias","Euphorbia cyparissias","Euphorbiaceae","herb"
"Annona cherimola","Annona cherimola","Annonaceae","shrub"
"Premna grandifolia","Premna grandifolia","Lamiaceae",""
"Cosmos sulphureus","Cosmos sulphureus","Asteraceae","herb"
"Ficus laurifolia","Ficus laurifolia","Moraceae","tree"
"Cassipourea leptoclada","Cassipourea leptoclada","Rhizophoraceae",""
"Eucomis montana","Eucomis montana","Asparagaceae","herb"
"Piper arboreum","Piper arboreum","Piperaceae","shrub"
"Cananga virgata","Cananga virgata","Annonaceae",""
"Phyllanthus acidus","Phyllanthus acidus","Phyllanthaceae","tree"
"Acampe praemorsa","Acampe praemorsa","Orchidaceae","epiphyte"
"Mollugo verticillata","Mollugo verticillata","Molluginaceae","herb"
"Echium plantagineum","Echium plantagineum","Boraginaceae","herb"
"Psophocarpus tetragonolobus","Psophocarpus tetragonolobus","Fabaceae","herb"
"Couroupita guianensis","Couroupita guianensis","Lecythidaceae","tree"
"Plumeria alba","Plumeria alba","Apocynaceae",""
"Ficus benjamina","Ficus benjamina","Moraceae","tree"
"Typha angustifolia","Typha angustifolia","Typhaceae","herb"
"Valerianella locusta","Valerianella locusta","Caprifoliaceae",""
"Pithecellobium dulce","Pithecellobium dulce","Fabaceae","tree"
"Haematoxylum campechianum","Haematoxylum campechianum","Fabaceae","tree"
"Myrica aethiopica","Myrica aethiopica","Myricaceae",""
"Acalypha wilkesiana","Acalypha wilkesiana","Euphorbiaceae","shrub"
"Tripsacum dactyloides","Tripsacum dactyloides","Poaceae","herb"
"Ludwigia affinis","Ludwigia affinis","Onagraceae","herb"
"Martynia annua","Martynia annua","Martyniaceae","herb"
"Passiflora edulis","Passiflora edulis","Passifloraceae","climber"
"Rubus niveus","Rubus niveus","Rosaceae","shrub"
"Theobroma cacao","Theobroma cacao","Malvaceae","tree"
"Chenopodium carinatum","Chenopodium carinatum","Amaranthaceae","herb"
"Canthium glabrum","Canthium glabrum","Rubiaceae","tree"
"Crotalaria zanzibarica","Crotalaria zanzibarica","Fabaceae","shrub"
"Flemingia macrophylla","Flemingia macrophylla","Fabaceae","shrub"
"Vernicia montana","Vernicia montana","Euphorbiaceae","tree"
"Cocos nucifera","Cocos nucifera","Arecaceae","tree"
"Chrysopogon zizanioides","Chrysopogon zizanioides","Poaceae","herb"
"Solanum sisymbriifolium","Solanum sisymbriifolium","Solanaceae","shrublet"
"Lagerstroemia indica","Lagerstroemia indica","Lythraceae","shrub"
"Leucaena diversifolia","Leucaena diversifolia","Fabaceae","tree"
"Calliandra calothyrsus","Calliandra calothyrsus","Fabaceae","shrub"
"Hyptis atrorubens","Hyptis atrorubens","Lamiaceae","herb"
"Claoxylon subbullatum","Claoxylon subbullatum","Euphorbiaceae",""
"Barringtonia acutangula","Barringtonia acutangula subsp. spicata","Lecythidaceae","tree"
"Lactuca serriola","Lactuca serriola","Asteraceae","herb"
"Scleranthus annuus","Scleranthus annuus","Caryophyllaceae","herb"
"Gnetum gnemon","Gnetum gnemon","Gnetaceae","tree"
"Casearia barteri","Casearia barteri","Salicaceae","tree"
"Cenchrus echinatus","Cenchrus echinatus","Poaceae","herb"
"Terminalia neotaliala","Terminalia neotaliala","Combretaceae","tree"
"Calotropis gigantea","Calotropis gigantea","Apocynaceae","shrub"
"Datura metel","Datura metel","Solanaceae","shrublet"
"Psidium guineense","Psidium guineense","Myrtaceae","shrub"
"Lathyrus sativus","Lathyrus sativus","Fabaceae","herb"
"Amaryllis belladonna","Amaryllis belladonna","Amaryllidaceae",""
"Priva lappulacea","Priva lappulacea","Verbenaceae","herb"
"Mangifera indica","Mangifera indica","Anacardiaceae","tree"
"Prunus serotina","Prunus serotina","Rosaceae","tree"
"Euphorbia milii","Euphorbia milii","Euphorbiaceae","shrublet"
"Nothoscordum inodorum","Nothoscordum inodorum","Amaryllidaceae","herb"
"Panicum vaginatum","Panicum vaginatum","Poaceae","herb"
"Urochloa distachya","Urochloa distachya","Poaceae","herb"
"Gomphrena globosa","Gomphrena globosa","Amaranthaceae","herb"
"Macaranga tanarius","Macaranga tanarius","Euphorbiaceae","herb"
"Rubus ellipticus","Rubus ellipticus","Rosaceae","shrub"
"Nepeta betonicaefolia","Nepeta betonicaefolia","Lamiaceae",""
"Launaea nudicaulis","Launaea nudicaulis","Asteraceae",""
"Triumfetta semitriloba","Triumfetta semitriloba var. africana","Malvaceae","herb"
"Maranta arundinacea","Maranta arundinacea","Marantaceae","herb"
"Eucalyptus ficifolia","Eucalyptus ficifolia","Myrtaceae",""
"Foeniculum vulgare","Foeniculum vulgare","Apiaceae","herb"
"Cratoxylum sumatranum","Cratoxylum sumatranum","Hypericaceae","tree"
"Dysphania schraderiana","Dysphania schraderiana","Amaranthaceae","herb"
"Mora excelsa","Mora excelsa","Fabaceae","tree"
"Eucalyptus maidenii","Eucalyptus maidenii","Myrtaceae",""
"Angelonia biflora","Angelonia biflora","Plantaginaceae","herb"
"Ipomoea hederacea","Ipomoea hederacea","Convolvulaceae",""
"Araucaria excelsa","Araucaria excelsa","Araucariaceae","tree"
"Araucaria cunninghamii","Araucaria cunninghamii","Araucariaceae","tree"
"Citrus aurantiifolia","Citrus aurantiifolia","Rutaceae","tree"
"Citrus sinensis","Citrus sinensis","Rutaceae","tree"
"Xiphopteris punctata","Xiphopteris punctata","Polypodiaceae",""
"Tripsacum andersonii","Tripsacum andersonii","Poaceae","herb"
"Meliosma sumatrana","Meliosma sumatrana","Sabiaceae","tree"
"Cecropia peltata","Cecropia peltata","Urticaceae","tree"
"Alstonia angustiloba","Alstonia angustiloba","Apocynaceae","tree"
"Cryptomeria japonica","Cryptomeria japonica","Cupressaceae","tree"
"Trachyspermum ammi","Trachyspermum ammi","Apiaceae","herb"
"Lithocarpus indutus","Lithocarpus indutus","Fagaceae","shrub"
"Quercus lineata","Quercus lineata","Fagaceae","tree"
"Lithocarpus daphnoideus","Lithocarpus daphnoideus","Fagaceae","shrub"
"Tagetes erecta","Tagetes erecta","Asteraceae","herb"
"Tolpis virgata","Tolpis virgata","Asteraceae","herb"
"Quercus platycarpa","Quercus platycarpa","Fagaceae",""
"Coriandrum sativum","Coriandrum sativum","Apiaceae","herb"
"Anchusa officinalis","Anchusa officinalis","Boraginaceae","herb"
"Diospyros chevalieri","Diospyros chevalieri","Ebenaceae","shrub"
"Solanum chrysotrichum","Solanum chrysotrichum","Solanaceae","shrub"
"Diospyros vera","Diospyros vera","Ebenaceae","shrub"
"Abelmoschus moschatus","Abelmoschus moschatus","Malvaceae","herb"
"Eremochloa ophiuroides","Eremochloa ophiuroides","Poaceae","herb"
"Platycladus orientalis","Platycladus orientalis","Cupressaceae","tree"
"Glycine max","Glycine max","Fabaceae","herb"
"Eucalyptus paniculata","Eucalyptus paniculata","Myrtaceae",""
"Lactuca sativa","Lactuca sativa","Asteraceae","herb"
"Zephyranthes tubispatha","Zephyranthes tubispatha","Amaryllidaceae",""
"Myriophyllum aquaticum","Myriophyllum aquaticum","Haloragaceae","herb"
"Sphagneticola trilobata","Sphagneticola trilobata","Asteraceae","herb"
"Parthenium hysterophorus","Parthenium hysterophorus","Asteraceae","herb"
"Flaveria contrayerba","Flaveria contrayerba","Asteraceae","herb"
"Mammea americana","Mammea americana","Calophyllaceae","tree"
"Brunfelsia pauciflora","Brunfelsia pauciflora","Solanaceae","shrub"
"Verbesina encelioides","Verbesina encelioides","Asteraceae","herb"
"Olea europaea","Olea europaea subsp. cuspidata","Oleaceae","tree"
"Conyza canadensis","Conyza canadensis","Asteraceae","herb"
"Morinda citrifolia","Morinda citrifolia","Rubiaceae","tree"
"Pistacia mutica","Pistacia mutica","Anacardiaceae","tree"
"Vigna radiata","Vigna radiata","Fabaceae","herb"
"Canavalia africana","Canavalia africana","Fabaceae","liana"
"Acmella oleracea","Acmella oleracea","Asteraceae","herb"
"Aleurites angustifolia","Aleurites angustifolia","Euphorbiaceae",""
"Zinnia elegans","Zinnia elegans","Asteraceae","herb"
"Jatropha integerrima","Jatropha integerrima","Euphorbiaceae","shrub"
"Malachra alceifolia","Malachra alceifolia","Malvaceae",""
"Crescentia cujete","Crescentia cujete","Bignoniaceae","tree"
"Plectranthus scutellarioides","Plectranthus scutellarioides","Lamiaceae",""
"Cyperus flavus","Cyperus flavus subsp. redolens","Cyperaceae","herb"
"Combretum kraussii","Combretum kraussii","Combretaceae","tree"
"Cucurbita ficifolia","Cucurbita ficifolia","Cucurbitaceae","herb"
"Caesalpinia gilliesii","Caesalpinia gilliesii","Fabaceae","shrub"
"Buddleja cordata","Buddleja cordata","Scrophulariaceae","tree"
"Merremia tuberosa","Merremia tuberosa","Convolvulaceae","climber"
"Toona microcarpa","Toona microcarpa","Meliaceae",""
"Senecio rhyncholaenus","Senecio rhyncholaenus","Asteraceae","herb"
"Melanthera biflora","Melanthera biflora","Asteraceae","herb"
"Solanum macrocarpum","Solanum macrocarpum","Solanaceae","herb"
"Sida cordata","Sida cordata","Malvaceae","herb"
"Persicaria amphibia","Persicaria amphibia","Polygonaceae","herb"
"Garuga pinnata","Garuga pinnata","Burseraceae","shrub"
"Zingiber officinale","Zingiber officinale","Zingiberaceae","herb"
"Heliconia rostrata","Heliconia rostrata","Heliconiaceae","herb"
"Tetrameles nudiflora","Tetrameles nudiflora","Tetramelaceae","tree"
"Passiflora quadrangularis","Passiflora quadrangularis","Passifloraceae","liana"
"Paspalum notatum","Paspalum notatum","Poaceae","herb"
"Euphorbia lactea","Euphorbia lactea","Euphorbiaceae",""
"Uvaria longifolia","Uvaria longifolia","Annonaceae","liana"
"Angelonia salicariifolia","Angelonia salicariifolia","Plantaginaceae",""
"Diploclisia glaucescens","Diploclisia glaucescens","Menispermaceae","climber"
"Bartsia trixago","Bartsia trixago","Orobanchaceae","herb"
"Nephelium lappaceum","Nephelium lappaceum var. lappaceum","Sapindaceae","tree"
"Trigonella foenum-graecum","Trigonella foenum-graecum","Fabaceae","herb"
"Thunbergia amoena","Thunbergia amoena","Acanthaceae","herb"
"Syzygium jambos","Syzygium jambos","Myrtaceae","tree"
"Dolichos lablab","Dolichos lablab","Fabaceae","herb"
"Cupressus lusitanica","Cupressus lusitanica","Cupressaceae","tree"
"Bidens bipinnata","Bidens bipinnata","Asteraceae","herb"
"Abelmoschus esculentus","Abelmoschus esculentus var. esculentus","Malvaceae","herb"
"Blumea axillaris","Blumea axillaris","Asteraceae","herb"
"Lepidium didymum","Lepidium didymum","Brassicaceae","herb"
"Lupinus albus","Lupinus albus","Fabaceae","herb"
"Euphorbia lathyris","Euphorbia lathyris","Euphorbiaceae","herb"
"Saccharum officinarum","Saccharum officinarum","Poaceae","herb"
"Piper nigrum","Piper nigrum","Piperaceae","climber"
"Syzygium aromaticum","Syzygium aromaticum","Myrtaceae","tree"
"Brassica nigra","Brassica nigra var. abyssinica","Brassicaceae","herb"
"Lepidium sativum","Lepidium sativum","Brassicaceae","herb"
"Polyscias guilfoylei","Polyscias guilfoylei","Araliaceae","shrub"
"Linum trigynum","Linum trigynum","Linaceae","herb"
"Sisymbrium officinale","Sisymbrium officinale","Brassicaceae","herb"
"Parkia ulei","Parkia ulei","Fabaceae",""
"Cymbopogon citratus","Cymbopogon citratus","Poaceae","herb"
"Solanum muricatum","Solanum muricatum","Solanaceae","herb"
"Chamaesyce vachellii","Chamaesyce vachellii","Euphorbiaceae",""
"Helianthus annuus","Helianthus annuus","Asteraceae","herb"
"Pithecellobium saman","Pithecellobium saman","Fabaceae",""
"Acalypha wilkesiana","Acalypha wilkesiana var. musaica","Euphorbiaceae","shrub"
"Sagina apetala","Sagina apetala","Caryophyllaceae","herb"
"Beta vulgaris","Beta vulgaris","Amaranthaceae","herb"
"Solanum betaceum","Solanum betaceum","Solanaceae","shrub"
"Clerodendrum inerme","Clerodendrum inerme","Lamiaceae","liana"
"Calliandra surinamensis","Calliandra surinamensis","Fabaceae","shrub"
"Mitrephora chrysocarpa","Mitrephora chrysocarpa","Annonaceae",""
"Sesbania bispinosa","Sesbania bispinosa","Fabaceae","herb"
"Myristica fragrans","Myristica fragrans","Myristicaceae","tree"
"Monanthochloe littoralis","Monanthochloe littoralis","Poaceae","climber"
"Duranta erecta","Duranta erecta","Verbenaceae","shrub"
"Garcinia dulcis","Garcinia dulcis","Clusiaceae","tree"
"Acacia mollissima","Acacia mollissima","Fabaceae",""
"Panicum antidotale","Panicum antidotale","Poaceae","herb"
"Dalbergia sissoo","Dalbergia sissoo","Fabaceae","tree"
"Corymbia citriodora","Corymbia citriodora","Myrtaceae","tree"
"Solanum seaforthianum","Solanum seaforthianum","Solanaceae","climber"
"Erythrina fusca","Erythrina fusca","Fabaceae","tree"
"Phytolacca octandra","Phytolacca octandra","Phytolaccaceae",""
"Ruta chalepensis","Ruta chalepensis","Rutaceae","herb"
"Garcinia dioica","Garcinia dioica","Clusiaceae","shrub"
"Spathiphyllum candidum","Spathiphyllum candidum","Araceae",""
"Papilionanthe teres","Papilionanthe teres","Orchidaceae",""
"Xanthosoma sagittifolium","Xanthosoma sagittifolium","Araceae","herb"
"Zoysia tenuifolia","Zoysia tenuifolia","Poaceae","herb"
"Opuntia ficus-indica","Opuntia ficus-indica","Cactaceae","herb"
"Pinus patula","Pinus patula","Pinaceae","tree"
"Hymenocallis littoralis","Hymenocallis littoralis","Amaryllidaceae","herb"
"Urochloa plantaginea","Urochloa plantaginea","Poaceae","herb"
"Hippeastrum puniceum","Hippeastrum puniceum","Amaryllidaceae","herb"
"Barleria lupulina","Barleria lupulina","Acanthaceae","herb"
"Persea americana","Persea americana","Lauraceae","tree"
"Vigna radiata","Vigna radiata var. sublobata","Fabaceae","herb"
"Vernicia cordata","Vernicia cordata","Euphorbiaceae","tree"
"Passiflora subpeltata","Passiflora subpeltata","Passifloraceae","climber"
"Prunus persica","Prunus persica","Rosaceae","tree"
"Cuphea carthagenensis","Cuphea carthagenensis","Lythraceae","herb"
"Antidesma velutinosum","Antidesma velutinosum","Phyllanthaceae","shrub"
"Egeria densa","Egeria densa","Hydrocharitaceae","herb"
"Pachira insignis","Pachira insignis","Malvaceae","tree"
"Terminalia fatraea","Terminalia fatraea","Combretaceae","shrub"
"Hibiscus furcatus","Hibiscus furcatus","Malvaceae","shrub"
"Croton tiglium","Croton tiglium","Euphorbiaceae",""
"Lonicera sempervirens","Lonicera sempervirens","Caprifoliaceae","liana"
"Bulbostylis thouarsii","Bulbostylis thouarsii","Cyperaceae","herb"
"Eucalyptus gigantea","Eucalyptus gigantea","Myrtaceae",""
"Abelmoschus manihot","Abelmoschus manihot","Malvaceae","herb"
"Eucalyptus globulus","Eucalyptus globulus","Myrtaceae","tree"
"Oxalis debilis","Oxalis debilis var. corymbosa","Oxalidaceae","herb"
"Dendrolobium rugosum","Dendrolobium rugosum","Fabaceae",""
"Eucalyptus macrorhyncha","Eucalyptus macrorhyncha","Myrtaceae",""
"Ludwigia repens","Ludwigia repens","Onagraceae","herb"
"Xylopia elliptica","Xylopia elliptica","Annonaceae","tree"
"Buchenavia capitata","Buchenavia capitata","Combretaceae",""
"Verbascum floccosum","Verbascum floccosum","Scrophulariaceae","herb"
"Mimusops elengi","Mimusops elengi","Sapotaceae","tree"
"Carex stenophylla","Carex stenophylla","Cyperaceae","herb"
"Croton pulchellus","Croton pulchellus","Euphorbiaceae","tree"
"Pittosporum ochrosiifolium","Pittosporum ochrosiifolium","Pittosporaceae","shrub"
"Ipomoea tricolor","Ipomoea tricolor","Convolvulaceae","climber"
"Burmannia madagascariensis","Burmannia madagascariensis","Burmanniaceae","myco-heterotroph"
"Brassica nigra","Brassica nigra","Brassicaceae","herb"
"Casimiroa edulis","Casimiroa edulis","Rutaceae","tree"
"Trifolium campestre","Trifolium campestre","Fabaceae","herb"
"Dombeya longibracteolata","Dombeya longibracteolata","Malvaceae","shrub"
"Paspalum longifolium","Paspalum longifolium","Poaceae","herb"
"Pentace macrophylla","Pentace macrophylla","Malvaceae","tree"
"Ligustrum lucidum","Ligustrum lucidum","Oleaceae","tree"
"Salvia tiliifolia","Salvia tiliifolia","Lamiaceae","herb"
"Derris microphylla","Derris microphylla","Fabaceae",""
"Ocimum tenuiflorum","Ocimum tenuiflorum","Lamiaceae","herb"
"Araucaria heterophylla","Araucaria heterophylla","Araucariaceae","tree"
"Colona javanica","Colona javanica","Malvaceae","shrub"
"Clerodendrum speciosissimum","Clerodendrum speciosissimum","Lamiaceae","liana"
"Oldenlandia pumila","Oldenlandia pumila","Rubiaceae",""
"Polytrias indica","Polytrias indica","Poaceae","herb"
"Belamcanda chinensis","Belamcanda chinensis","Iridaceae","herb"
"Persicaria dichotoma","Persicaria dichotoma","Polygonaceae","herb"
"Lappula patula","Lappula patula","Boraginaceae","herb"
"Heliconia psittacorum","Heliconia psittacorum","Heliconiaceae","herb"
"Centratherum punctatum","Centratherum punctatum","Asteraceae","herb"
"Centratherum punctatum","Centratherum punctatum subsp. punctatum","Asteraceae","herb"
"Solanum rudepannum","Solanum rudepannum","Solanaceae","herb"
"Hyptis capitata","Hyptis capitata","Lamiaceae","herb"
"Wikstroemia indica","Wikstroemia indica","Thymelaeaceae","tree"
"Leucaena leucocephala","Leucaena leucocephala subsp. glabrata","Fabaceae","tree"
"Koeleria cristata","Koeleria cristata var. convulata","Poaceae","herb"
"Cyperus flavidus","Cyperus flavidus var. nilagiricus","Cyperaceae","herb"
"Crotalaria pumila","Crotalaria pumila","Fabaceae",""
"Jasminum sambac","Jasminum sambac","Oleaceae","liana"
"Allamanda schottii","Allamanda schottii","Apocynaceae","shrub"
"Mallotus subcuneatus","Mallotus subcuneatus","Euphorbiaceae","shrub"
"Cycas circinalis","Cycas circinalis","Cycadaceae","tree"
"Hippobroma longiflora","Hippobroma longiflora","Campanulaceae","herb"
"Eugenia brasiliensis","Eugenia brasiliensis","Myrtaceae",""
"Brunfelsia uniflora","Brunfelsia uniflora","Solanaceae",""
"Persicaria acuminata","Persicaria acuminata","Polygonaceae","herb"
"Rosmarinus officinalis","Rosmarinus officinalis","Lamiaceae","shrub"
"Eucalyptus melliodora","Eucalyptus melliodora","Myrtaceae",""
"Gnaphalium pensylvanicum","Gnaphalium pensylvanicum","Asteraceae","herb"
"Eucalyptus marginata","Eucalyptus marginata","Myrtaceae",""
"Eucalyptus resinifera","Eucalyptus resinifera","Myrtaceae",""
"Hibiscus rosa-sinensis","Hibiscus rosa-sinensis","Malvaceae","shrub"
"Pimenta acris","Pimenta acris","Myrtaceae",""
"Psidium cattleianum","Psidium cattleianum","Myrtaceae","tree"
"Syzygium macrocarpum","Syzygium macrocarpum","Myrtaceae",""
"Melilotus albus","Melilotus albus","Fabaceae","herb"
"Gnaphalium undulatum","Gnaphalium undulatum","Asteraceae","herb"
"Juniperus phoenicea","Juniperus phoenicea","Cupressaceae","tree"
"Brachiaria reptans","Brachiaria reptans","Poaceae","herb"
"Koeleria cristata","Koeleria cristata var. uniflora","Poaceae","herb"
"Trifolium repens","Trifolium repens","Fabaceae","herb"
"Cupressus macrocarpa","Cupressus macrocarpa","Cupressaceae","tree"
"Clitoria laurifolia","Clitoria laurifolia","Fabaceae","shrub"
"Leucaena leucocephala","Leucaena leucocephala subsp. leucocephala","Fabaceae","tree"
"Senna surattensis","Senna surattensis","Fabaceae","tree"
"Acacia spadicigera","Acacia spadicigera","Fabaceae","tree"
"Pyrostegia venusta","Pyrostegia venusta","Bignoniaceae","liana"
"Acacia saligna","Acacia saligna","Fabaceae","tree"
"Sesbania bispinosa","Sesbania bispinosa var. bispinosa","Fabaceae","herb"
"Lactuca serriola","Lactuca serriola var. serriola","Asteraceae","herb"
"Mallotus philippensis","Mallotus philippensis","Euphorbiaceae","tree"
"Eclipta prostrata","Eclipta prostrata","Asteraceae","herb"
"Bauhinia acuminata","Bauhinia acuminata","Fabaceae","shrub"
"Agathis dammara","Agathis dammara","Araucariaceae","tree"
"Callistemon speciosus","Callistemon speciosus","Myrtaceae","tree"
"Allium cepa","Allium cepa","Amaryllidaceae","herb"
"Diospyros ebenum","Diospyros ebenum","Ebenaceae",""
"Paraserianthes falcataria","Paraserianthes falcataria","Fabaceae","tree"
"Eugenia luschnathiana","Eugenia luschnathiana","Myrtaceae",""
"Thelypteris palustris","Thelypteris palustris var. squamigera","Aspleniaceae","herb"
"Sesbania sesban","Sesbania sesban subsp. punctata","Fabaceae","shrub"
"Stegnogramma pozoi","Stegnogramma pozoi","Thelypteridaceae",""
"Thelypteris unita","Thelypteris unita","Aspleniaceae","herb"
"Psychotria cuspidata","Psychotria cuspidata","Rubiaceae",""
"Rondeletia purdiei","Rondeletia purdiei var. purdiei","Rubiaceae",""
"Sambucus mexicana","Sambucus mexicana","Adoxaceae","shrub"
"Tradescantia zebrina","Tradescantia zebrina","Commelinaceae","herb"
"Salvia coccinea","Salvia coccinea","Lamiaceae","herb"
"Melicoccus bijugatus","Melicoccus bijugatus","Sapindaceae","tree"
"Buchnera hispida","Buchnera hispida","Orobanchaceae","herb"
"Thelypteris patens","Thelypteris patens","Aspleniaceae",""
"Chrysophyllum cainito","Chrysophyllum cainito","Sapotaceae","tree"
"Hypochaeris glabra","Hypochaeris glabra","Asteraceae","herb"
"Montanoa bipinnatifida","Montanoa bipinnatifida","Asteraceae","shrub"
"Acacia melanoxylon","Acacia melanoxylon","Fabaceae","tree"
"Bulbostylis capillaris","Bulbostylis capillaris","Cyperaceae","herb"
"Impatiens balsamina","Impatiens balsamina","Balsaminaceae","herb"
"Phaeomeria magnifica","Phaeomeria magnifica","Zingiberaceae","herb"
"Fagopyrum esculentum","Fagopyrum esculentum","Polygonaceae","herb"
"Odontonema cuspidatum","Odontonema cuspidatum","Acanthaceae","herb"
"Leucaena pulverulenta","Leucaena pulverulenta","Fabaceae",""
"Pinus caribaea","Pinus caribaea","Pinaceae","tree"
"Eucalyptus grandis","Eucalyptus grandis","Myrtaceae",""
"Eucalyptus saligna","Eucalyptus saligna","Myrtaceae","tree"
"Agave sisalana","Agave sisalana","Asparagaceae","shrub"
"Petrea volubilis","Petrea volubilis","Verbenaceae",""
"Euphorbia tithymaloides","Euphorbia tithymaloides subsp. smallii","Euphorbiaceae",""
"Ficus pumila","Ficus pumila","Moraceae","climber"
"Tabebuia rosea","Tabebuia rosea","Bignoniaceae","tree"
"Cannabis sativa","Cannabis sativa","Cannabaceae","herb"
"Decaspermum fruticosum","Decaspermum fruticosum","Myrtaceae","shrub"
"Phaseolus radiatus","Phaseolus radiatus","Fabaceae","liana"
"Vigna longifolia","Vigna longifolia","Fabaceae",""
"Fagraea fragrans","Fagraea fragrans","Gentianaceae","tree"
"Dalbergia latifolia","Dalbergia latifolia","Fabaceae","tree"
"Rhoeo discolor","Rhoeo discolor","Commelinaceae","herb"
"Allamanda blanchetii","Allamanda blanchetii","Apocynaceae","shrub"
"Thymophylla tenuiloba","Thymophylla tenuiloba","Asteraceae","herb"
"Zephyranthes citrina","Zephyranthes citrina","Amaryllidaceae","herb"
"Crotalaria anagyroides","Crotalaria anagyroides","Fabaceae",""
"Epiphyllum oxypetalum","Epiphyllum oxypetalum","Cactaceae",""
"Melilotus elegans","Melilotus elegans","Fabaceae","herb"
"Bocconia arborea","Bocconia arborea","Papaveraceae",""
"Passiflora suberosa","Passiflora suberosa","Passifloraceae","climber"
"Blumea balsamifera","Blumea balsamifera","Asteraceae","herb"
"Tithonia rotundifolia","Tithonia rotundifolia","Asteraceae","herb"
"Dioscorea esculenta","Dioscorea esculenta","Dioscoreaceae","liana"
"Ficus drupacea","Ficus drupacea","Moraceae","tree"
"Phaeanthus malabaricus","Phaeanthus malabaricus","Annonaceae",""
"Oenothera glazioviana","Oenothera glazioviana","Onagraceae","shrub"
"Euphorbia cotinoides","Euphorbia cotinoides","Euphorbiaceae",""
"Hydrocleys nymphoides","Hydrocleys nymphoides","Alismataceae","herb"
"Millingtonia hortensis","Millingtonia hortensis","Bignoniaceae","tree"
"Colocasia esculenta","Colocasia esculenta","Araceae","herb"
"Dalbergia floribunda","Dalbergia floribunda","Fabaceae","liana"
"Abelmoschus manihot","Abelmoschus manihot var. manihot","Malvaceae","herb"
"Amaranthus caudatus","Amaranthus caudatus","Amaranthaceae","herb"
"Solanum sarrachoides","Solanum sarrachoides","Solanaceae","herb"
"Eleutherine bulbosa","Eleutherine bulbosa","Iridaceae","herb"
"Opuntia dillenii","Opuntia dillenii","Cactaceae","shrub"
"Stylosanthes humilis","Stylosanthes humilis","Fabaceae","herb"
"Syzygium cumini","Syzygium cumini","Myrtaceae","tree"
"Abroma augusta","Abroma augusta","Malvaceae","shrub"
"Coccoloba uvifera","Coccoloba uvifera","Polygonaceae","tree"
"Clitoria ternatea","Clitoria ternatea var. ternatea","Fabaceae","climber"
"Odontonema strictum","Odontonema strictum","Acanthaceae",""
"Curcuma longa","Curcuma longa","Zingiberaceae",""
"Breynia patens","Breynia patens","Phyllanthaceae",""
"Aristida swartziana","Aristida swartziana","Poaceae","herb"
"Prunus salasii","Prunus salasii","Rosaceae",""
"Eriobotrya japonica","Eriobotrya japonica","Rosaceae","tree"
"Ipomoea arborescens","Ipomoea arborescens","Convolvulaceae",""
"Eriosema chinense","Eriosema chinense","Fabaceae","herb"
"Brugmansia candida","Brugmansia candida","Solanaceae","shrub"
"Euphorbia acanthothamnos","Euphorbia acanthothamnos","Euphorbiaceae","herb"
